,destination,come_from,total,year,month
720,Galicia,Spain,313126,2009,Dec
721,Galicia,Spain,364689,2009,Nov
722,Galicia,Spain,563570,2009,Oct
723,Galicia,Spain,643505,2009,Sep
724,Galicia,Spain,1117813,2009,Aug
725,Galicia,Spain,806779,2009,Jul
726,Galicia,Spain,543608,2009,Jun
727,Galicia,Spain,481151,2009,May
728,Galicia,Spain,468836,2009,Apr
729,Galicia,Spain,368327,2009,Mar
730,Galicia,Spain,297417,2009,Feb
731,Galicia,Spain,261751,2009,Jan
732,Galicia,Spain,312260,2008,Dec
733,Galicia,Spain,389716,2008,Nov
734,Galicia,Spain,560036,2008,Oct
735,Galicia,Spain,623126,2008,Sep
736,Galicia,Spain,1072448,2008,Aug
737,Galicia,Spain,799759,2008,Jul
738,Galicia,Spain,556379,2008,Jun
739,Galicia,Spain,534778,2008,May
740,Galicia,Spain,429133,2008,Apr
741,Galicia,Spain,503697,2008,Mar
742,Galicia,Spain,343573,2008,Feb
743,Galicia,Spain,309651,2008,Jan
744,Galicia,Spain,350470,2007,Dec
745,Galicia,Spain,434480,2007,Nov
746,Galicia,Spain,596686,2007,Oct
747,Galicia,Spain,678052,2007,Sep
748,Galicia,Spain,1171552,2007,Aug
749,Galicia,Spain,836021,2007,Jul
750,Galicia,Spain,560940,2007,Jun
751,Galicia,Spain,451964,2007,May
752,Galicia,Spain,532241,2007,Apr
753,Galicia,Spain,399393,2007,Mar
754,Galicia,Spain,297623,2007,Feb
755,Galicia,Spain,288996,2007,Jan
756,Galicia,Spain,336119,2006,Dec
757,Galicia,Spain,379884,2006,Nov
758,Galicia,Spain,535246,2006,Oct
759,Galicia,Spain,643269,2006,Sep
760,Galicia,Spain,1170150,2006,Aug
761,Galicia,Spain,894305,2006,Jul
762,Galicia,Spain,559282,2006,Jun
763,Galicia,Spain,475049,2006,May
764,Galicia,Spain,544959,2006,Apr
765,Galicia,Spain,388385,2006,Mar
766,Galicia,Spain,307912,2006,Feb
767,Galicia,Spain,290107,2006,Jan
768,Galicia,Spain,330036,2005,Dec
769,Galicia,Spain,392404,2005,Nov
770,Galicia,Spain,509751,2005,Oct
771,Galicia,Spain,671642,2005,Sep
772,Galicia,Spain,1218855,2005,Aug
773,Galicia,Spain,873958,2005,Jul
774,Galicia,Spain,544703,2005,Jun
775,Galicia,Spain,462027,2005,May
776,Galicia,Spain,399133,2005,Apr
777,Galicia,Spain,449375,2005,Mar
778,Galicia,Spain,280656,2005,Feb
779,Galicia,Spain,260905,2005,Jan
780,Galicia,Spain,357886,2004,Dec
781,Galicia,Spain,393148,2004,Nov
782,Galicia,Spain,604603,2004,Oct
783,Galicia,Spain,756724,2004,Sep
784,Galicia,Spain,1174325,2004,Aug
785,Galicia,Spain,851761,2004,Jul
786,Galicia,Spain,639399,2004,Jun
787,Galicia,Spain,525853,2004,May
788,Galicia,Spain,498705,2004,Apr
789,Galicia,Spain,374700,2004,Mar
790,Galicia,Spain,297824,2004,Feb
791,Galicia,Spain,261089,2004,Jan
792,Galicia,Spain,282537,2003,Dec
793,Galicia,Spain,332031,2003,Nov
794,Galicia,Spain,452477,2003,Oct
795,Galicia,Spain,612544,2003,Sep
796,Galicia,Spain,1072956,2003,Aug
797,Galicia,Spain,676360,2003,Jul
798,Galicia,Spain,466540,2003,Jun
799,Galicia,Spain,407063,2003,May
800,Galicia,Spain,371767,2003,Apr
801,Galicia,Spain,312960,2003,Mar
802,Galicia,Spain,246385,2003,Feb
803,Galicia,Spain,247441,2003,Jan
804,Galicia,Spain,275176,2002,Dec
805,Galicia,Spain,326496,2002,Nov
806,Galicia,Spain,454979,2002,Oct
807,Galicia,Spain,532005,2002,Sep
808,Galicia,Spain,1047092,2002,Aug
809,Galicia,Spain,660803,2002,Jul
810,Galicia,Spain,438313,2002,Jun
811,Galicia,Spain,390835,2002,May
812,Galicia,Spain,348920,2002,Apr
813,Galicia,Spain,393199,2002,Mar
814,Galicia,Spain,244896,2002,Feb
815,Galicia,Spain,196889,2002,Jan
816,Galicia,Spain,259180,2001,Dec
817,Galicia,Spain,307451,2001,Nov
818,Galicia,Spain,409983,2001,Oct
819,Galicia,Spain,525114,2001,Sep
820,Galicia,Spain,1001757,2001,Aug
821,Galicia,Spain,620542,2001,Jul
822,Galicia,Spain,396343,2001,Jun
823,Galicia,Spain,342371,2001,May
824,Galicia,Spain,368551,2001,Apr
825,Galicia,Spain,286968,2001,Mar
826,Galicia,Spain,225723,2001,Feb
827,Galicia,Spain,219875,2001,Jan
828,Galicia,Spain,234700,2000,Dec
829,Galicia,Spain,293404,2000,Nov
830,Galicia,Spain,404627,2000,Oct
831,Galicia,Spain,539374,2000,Sep
832,Galicia,Spain,964769,2000,Aug
833,Galicia,Spain,659963,2000,Jul
834,Galicia,Spain,397827,2000,Jun
835,Galicia,Spain,340757,2000,May
836,Galicia,Spain,369750,2000,Apr
837,Galicia,Spain,275103,2000,Mar
838,Galicia,Spain,249573,2000,Feb
839,Galicia,Spain,217555,2000,Jan
840,Galicia,Spain,284838,1999,Dec
841,Galicia,Spain,317022,1999,Nov
842,Galicia,Spain,559665,1999,Oct
843,Galicia,Spain,749839,1999,Sep
844,Galicia,Spain,1059802,1999,Aug
845,Galicia,Spain,773404,1999,Jul
846,Galicia,Spain,536674,1999,Jun
847,Galicia,Spain,449088,1999,May
848,Galicia,Spain,401957,1999,Apr
849,Galicia,Spain,314703,1999,Mar
850,Galicia,Spain,215473,1999,Feb
851,Galicia,Spain,224782,1999,Jan
852,Galicia,Foreign,289657,2022,Aug
853,Galicia,Foreign,264660,2022,Jul
854,Galicia,Foreign,271876,2022,Jun
855,Galicia,Foreign,256591,2022,May
856,Galicia,Foreign,162069,2022,Apr
857,Galicia,Foreign,79090,2022,Mar
858,Galicia,Foreign,46376,2022,Feb
859,Galicia,Foreign,40721,2022,Jan
860,Galicia,Foreign,44304,2021,Dec
861,Galicia,Foreign,61280,2021,Nov
862,Galicia,Foreign,149179,2021,Oct
863,Galicia,Foreign,163256,2021,Sep
864,Galicia,Foreign,161614,2021,Aug
865,Galicia,Foreign,115371,2021,Jul
866,Galicia,Foreign,76642,2021,Jun
867,Galicia,Foreign,34944,2021,May
868,Galicia,Foreign,17997,2021,Apr
869,Galicia,Foreign,17125,2021,Mar
870,Galicia,Foreign,12594,2021,Feb
