,destination,come_from,total,year,month
153,Galicia,Spain,171658,2009,Nov
154,Galicia,Spain,254540,2009,Oct
155,Galicia,Spain,282148,2009,Sep
156,Galicia,Spain,436526,2009,Aug
157,Galicia,Spain,327882,2009,Jul
158,Galicia,Spain,239428,2009,Jun
159,Galicia,Spain,221102,2009,May
160,Galicia,Spain,214435,2009,Apr
161,Galicia,Spain,174744,2009,Mar
162,Galicia,Spain,147568,2009,Feb
163,Galicia,Spain,131600,2009,Jan
164,Galicia,Spain,149259,2008,Dec
165,Galicia,Spain,179452,2008,Nov
166,Galicia,Spain,251234,2008,Oct
167,Galicia,Spain,267969,2008,Sep
168,Galicia,Spain,418257,2008,Aug
169,Galicia,Spain,324767,2008,Jul
170,Galicia,Spain,246229,2008,Jun
171,Galicia,Spain,244517,2008,May
172,Galicia,Spain,205601,2008,Apr
173,Galicia,Spain,230286,2008,Mar
174,Galicia,Spain,171467,2008,Feb
175,Galicia,Spain,150410,2008,Jan
176,Galicia,Spain,172760,2007,Dec
177,Galicia,Spain,205599,2007,Nov
178,Galicia,Spain,276480,2007,Oct
179,Galicia,Spain,303405,2007,Sep
180,Galicia,Spain,457726,2007,Aug
181,Galicia,Spain,351175,2007,Jul
182,Galicia,Spain,258681,2007,Jun
183,Galicia,Spain,222944,2007,May
184,Galicia,Spain,252003,2007,Apr
185,Galicia,Spain,202108,2007,Mar
186,Galicia,Spain,154763,2007,Feb
187,Galicia,Spain,150174,2007,Jan
188,Galicia,Spain,165020,2006,Dec
189,Galicia,Spain,188688,2006,Nov
190,Galicia,Spain,246768,2006,Oct
191,Galicia,Spain,286742,2006,Sep
192,Galicia,Spain,442343,2006,Aug
193,Galicia,Spain,356589,2006,Jul
194,Galicia,Spain,264688,2006,Jun
195,Galicia,Spain,231881,2006,May
196,Galicia,Spain,260980,2006,Apr
197,Galicia,Spain,194813,2006,Mar
198,Galicia,Spain,157591,2006,Feb
199,Galicia,Spain,148675,2006,Jan
200,Galicia,Spain,164919,2005,Dec
201,Galicia,Spain,197524,2005,Nov
202,Galicia,Spain,240793,2005,Oct
203,Galicia,Spain,295630,2005,Sep
204,Galicia,Spain,468195,2005,Aug
205,Galicia,Spain,365832,2005,Jul
206,Galicia,Spain,254693,2005,Jun
207,Galicia,Spain,223232,2005,May
208,Galicia,Spain,200809,2005,Apr
209,Galicia,Spain,214316,2005,Mar
210,Galicia,Spain,146436,2005,Feb
211,Galicia,Spain,130891,2005,Jan
212,Galicia,Spain,172007,2004,Dec
213,Galicia,Spain,193019,2004,Nov
214,Galicia,Spain,290065,2004,Oct
215,Galicia,Spain,338609,2004,Sep
216,Galicia,Spain,468415,2004,Aug
217,Galicia,Spain,361781,2004,Jul
218,Galicia,Spain,295654,2004,Jun
219,Galicia,Spain,254221,2004,May
220,Galicia,Spain,244930,2004,Apr
221,Galicia,Spain,186054,2004,Mar
222,Galicia,Spain,151684,2004,Feb
223,Galicia,Spain,132698,2004,Jan
224,Galicia,Spain,142905,2003,Dec
225,Galicia,Spain,158651,2003,Nov
226,Galicia,Spain,212470,2003,Oct
227,Galicia,Spain,284889,2003,Sep
228,Galicia,Spain,425793,2003,Aug
229,Galicia,Spain,294373,2003,Jul
230,Galicia,Spain,220996,2003,Jun
231,Galicia,Spain,195477,2003,May
232,Galicia,Spain,182461,2003,Apr
233,Galicia,Spain,155501,2003,Mar
234,Galicia,Spain,123509,2003,Feb
235,Galicia,Spain,122462,2003,Jan
236,Galicia,Spain,123353,2002,Dec
237,Galicia,Spain,136043,2002,Nov
238,Galicia,Spain,183697,2002,Oct
239,Galicia,Spain,208683,2002,Sep
240,Galicia,Spain,377593,2002,Aug
241,Galicia,Spain,251747,2002,Jul
242,Galicia,Spain,177250,2002,Jun
243,Galicia,Spain,157533,2002,May
244,Galicia,Spain,146223,2002,Apr
245,Galicia,Spain,166786,2002,Mar
246,Galicia,Spain,113314,2002,Feb
247,Galicia,Spain,96185,2002,Jan
248,Galicia,Spain,121860,2001,Dec
249,Galicia,Spain,140210,2001,Nov
250,Galicia,Spain,176900,2001,Oct
251,Galicia,Spain,213581,2001,Sep
252,Galicia,Spain,355364,2001,Aug
253,Galicia,Spain,239528,2001,Jul
254,Galicia,Spain,171601,2001,Jun
255,Galicia,Spain,147902,2001,May
256,Galicia,Spain,158236,2001,Apr
257,Galicia,Spain,129918,2001,Mar
258,Galicia,Spain,106581,2001,Feb
259,Galicia,Spain,101507,2001,Jan
260,Galicia,Spain,111547,2000,Dec
261,Galicia,Spain,133746,2000,Nov
262,Galicia,Spain,182174,2000,Oct
263,Galicia,Spain,223686,2000,Sep
264,Galicia,Spain,357343,2000,Aug
265,Galicia,Spain,242160,2000,Jul
266,Galicia,Spain,171872,2000,Jun
267,Galicia,Spain,148324,2000,May
268,Galicia,Spain,165329,2000,Apr
269,Galicia,Spain,129654,2000,Mar
270,Galicia,Spain,114555,2000,Feb
271,Galicia,Spain,98445,2000,Jan
272,Galicia,Spain,141135,1999,Dec
273,Galicia,Spain,148948,1999,Nov
274,Galicia,Spain,240319,1999,Oct
275,Galicia,Spain,309812,1999,Sep
276,Galicia,Spain,377907,1999,Aug
277,Galicia,Spain,301135,1999,Jul
278,Galicia,Spain,232667,1999,Jun
279,Galicia,Spain,197296,1999,May
280,Galicia,Spain,183923,1999,Apr
281,Galicia,Spain,149537,1999,Mar
282,Galicia,Spain,108589,1999,Feb
283,Galicia,Spain,99120,1999,Jan
284,Galicia,Foreign,157822,2022,Aug
285,Galicia,Foreign,150376,2022,Jul
286,Galicia,Foreign,168803,2022,Jun
287,Galicia,Foreign,170461,2022,May
288,Galicia,Foreign,102536,2022,Apr
289,Galicia,Foreign,41371,2022,Mar
290,Galicia,Foreign,24579,2022,Feb
291,Galicia,Foreign,17605,2022,Jan
292,Galicia,Foreign,22331,2021,Dec
293,Galicia,Foreign,34675,2021,Nov
294,Galicia,Foreign,94344,2021,Oct
295,Galicia,Foreign,99283,2021,Sep
296,Galicia,Foreign,82000,2021,Aug
297,Galicia,Foreign,61787,2021,Jul
