come_from,year,trimester,avg_person_day,avg_person,percentage_Galicia,percentage_Spain
Japan,2018,1,59.11,205.55,0.25,1.84
Turkey,2022,1,53.97,197.8,0.22,4.02
Turkey,2021,4,59.36,205.66,0.27,5.32
Turkey,2021,3,46.88,146.81,0.08,2.67
Turkey,2021,2,47.73,107.88,0.16,4.14
Turkey,2021,1,43.18,116.59,0.26,5.84
Turkey,2020,4,65.15,149.23,0.16,6.5
Turkey,2020,3,46.2,125.3,0.07,3.66
Turkey,2020,2,0.0,0.0,0.0,0.0
Turkey,2020,1,67.9,232.94,0.36,4.07
Turkey,2019,4,94.74,347.36,0.4,5.23
Turkey,2019,3,73.62,272.54,0.14,3.26
Turkey,2019,2,89.23,273.96,0.22,2.81
Turkey,2019,1,68.09,174.31,0.36,3.61
Turkey,2018,4,85.03,261.11,0.28,4.45
Turkey,2018,3,64.36,272.2,0.11,2.65
Turkey,2018,2,68.24,225.42,0.22,2.7
Turkey,2018,1,72.37,254.13,0.37,4.29
Other,2022,1,73.04,273.9,1.89,1.9
Other,2021,4,71.16,248.56,1.64,1.88
Other,2021,3,91.81,287.41,1.08,1.58
Other,2021,2,107.78,244.19,1.84,3.7
Other,2021,1,108.28,297.41,2.59,4.07
Other,2020,4,162.66,389.08,2.71,6.06
Other,2020,3,134.42,367.79,1.56,4.4
Other,2020,2,0.0,0.0,0.0,0.0
Other,2020,1,123.2,426.85,2.18,1.58
Other,2019,4,114.14,426.02,2.2,1.77
Other,2019,3,101.42,375.74,1.55,1.29
Other,2019,2,129.7,406.59,2.21,1.93
Other,2019,1,123.33,318.48,1.98,1.19
Other,2018,4,130.81,423.65,2.4,2.03
Other,2018,3,101.37,430.98,1.64,1.51
Other,2018,2,110.11,358.48,1.87,1.79
Other,2018,1,147.96,528.21,1.93,2.0
