,accommodation,year,month,travellers,nights,avg_stay
113,Hotels,2010,Jun,380253.0,790352.0,2.1
114,Hotels,2010,Jul,460670.0,1041017.0,2.3
115,Hotels,2010,Aug,562156.0,1363203.0,2.4
116,Hotels,2010,Sep,428272.0,936722.0,2.2
117,Hotels,2010,Oct,366463.0,778452.0,2.1
118,Hotels,2010,Nov,212608.0,446516.0,2.1
119,Hotels,2010,Dec,189104.0,380185.0,2.0
120,Hotels,2011,Jan,133249.0,264126.0,2.0
121,Hotels,2011,Feb,151539.0,301992.0,2.0
122,Hotels,2011,Mar,187904.0,385662.0,2.1
123,Hotels,2011,Apr,270104.0,573610.0,2.1
124,Hotels,2011,May,287655.0,584293.0,2.0
125,Hotels,2011,Jun,337527.0,687658.0,2.0
126,Hotels,2011,Jul,436211.0,995351.0,2.3
127,Hotels,2011,Aug,533274.0,1238733.0,2.3
128,Hotels,2011,Sep,377652.0,789680.0,2.1
129,Hotels,2011,Oct,301455.0,632895.0,2.1
130,Hotels,2011,Nov,176753.0,379528.0,2.2
131,Hotels,2011,Dec,160744.0,324808.0,2.0
132,Hotels,2012,Jan,131548.0,252363.0,1.9
133,Hotels,2012,Feb,158105.0,293888.0,1.9
134,Hotels,2012,Mar,185527.0,368188.0,2.0
135,Hotels,2012,Apr,264162.0,516845.0,2.0
136,Hotels,2012,May,274675.0,529467.0,1.9
137,Hotels,2012,Jun,314766.0,621732.0,2.0
138,Hotels,2012,Jul,382199.0,858680.0,2.3
139,Hotels,2012,Aug,512595.0,1192209.0,2.3
140,Hotels,2012,Sep,366450.0,738346.0,2.0
141,Hotels,2012,Oct,292194.0,593495.0,2.0
142,Hotels,2012,Nov,178517.0,377337.0,2.1
143,Hotels,2012,Dec,155608.0,300775.0,1.9
144,Hotels,2013,Jan,129630.0,252630.0,2.0
145,Hotels,2013,Feb,137974.0,274269.0,2.0
146,Hotels,2013,Mar,212889.0,416611.0,2.0
147,Hotels,2013,Apr,215955.0,413115.0,1.9
148,Hotels,2013,May,304175.0,557376.0,1.8
149,Hotels,2013,Jun,342241.0,620747.0,1.8
150,Hotels,2013,Jul,428494.0,901969.0,2.1
151,Hotels,2013,Aug,577496.0,1286495.0,2.2
152,Hotels,2013,Sep,393134.0,776613.0,2.0
153,Hotels,2013,Oct,289918.0,567519.0,2.0
154,Hotels,2013,Nov,183610.0,382620.0,2.1
155,Hotels,2013,Dec,158644.0,311722.0,2.0
156,Hotels,2014,Jan,121683.0,243482.0,2.0
157,Hotels,2014,Feb,147368.0,273306.0,1.9
158,Hotels,2014,Mar,173536.0,347773.0,2.0
159,Hotels,2014,Apr,275286.0,497394.0,1.8
160,Hotels,2014,May,342928.0,605385.0,1.8
161,Hotels,2014,Jun,365093.0,672547.0,1.8
162,Hotels,2014,Jul,463334.0,935350.0,2.0
163,Hotels,2014,Aug,630950.0,1348682.0,2.1
164,Hotels,2014,Sep,439837.0,841736.0,1.9
165,Hotels,2014,Oct,333424.0,644457.0,1.9
166,Hotels,2014,Nov,186778.0,379913.0,2.0
167,Hotels,2014,Dec,167354.0,306595.0,1.8
168,Hotels,2015,Jan,134299.0,245042.0,1.8
169,Hotels,2015,Feb,154119.0,277693.0,1.8
170,Hotels,2015,Mar,214636.0,402529.0,1.9
171,Hotels,2015,Apr,296831.0,535116.0,1.8
172,Hotels,2015,May,373093.0,629586.0,1.7
173,Hotels,2015,Jun,435025.0,758369.0,1.7
174,Hotels,2015,Jul,561337.0,1089423.0,1.9
175,Hotels,2015,Aug,675925.0,1456226.0,2.2
176,Hotels,2015,Sep,485775.0,897307.0,1.9
177,Hotels,2015,Oct,374290.0,692765.0,1.9
178,Hotels,2015,Nov,198161.0,371364.0,1.9
179,Hotels,2015,Dec,182698.0,329282.0,1.8
180,Hotels,2016,Jan,148902.0,265687.0,1.8
181,Hotels,2016,Feb,173224.0,317397.0,1.8
182,Hotels,2016,Mar,262252.0,493117.0,1.9
183,Hotels,2016,Apr,280355.0,491565.0,1.8
184,Hotels,2016,May,386192.0,642368.0,1.7
185,Hotels,2016,Jun,458661.0,792141.0,1.7
186,Hotels,2016,Jul,584427.0,1203311.0,2.1
187,Hotels,2016,Aug,703201.0,1524943.0,2.2
188,Hotels,2016,Sep,517662.0,970571.0,1.9
189,Hotels,2016,Oct,406240.0,770664.0,1.9
190,Hotels,2016,Nov,216372.0,424881.0,2.0
191,Hotels,2016,Dec,187963.0,355234.0,1.9
192,Hotels,2017,Jan,158633.0,282884.0,1.8
193,Hotels,2017,Feb,179698.0,310984.0,1.7
194,Hotels,2017,Mar,222560.0,410421.0,1.8
195,Hotels,2017,Apr,377253.0,694042.0,1.8
196,Hotels,2017,May,399010.0,683429.0,1.7
197,Hotels,2017,Jun,466956.0,868876.0,1.9
198,Hotels,2017,Jul,588140.0,1267165.0,2.2
199,Hotels,2017,Aug,705408.0,1615964.0,2.3
200,Hotels,2017,Sep,527839.0,1014086.0,1.9
201,Hotels,2017,Oct,428851.0,810140.0,1.9
202,Hotels,2017,Nov,239171.0,466701.0,2.0
203,Hotels,2017,Dec,202132.0,383233.0,1.9
204,Hotels,2018,Jan,164009.0,303264.0,1.9
205,Hotels,2018,Feb,181676.0,326011.0,1.8
206,Hotels,2018,Mar,267366.0,494182.0,1.9
207,Hotels,2018,Apr,302710.0,580378.0,1.9
208,Hotels,2018,May,382717.0,680504.0,1.8
209,Hotels,2018,Jun,426307.0,813193.0,1.9
210,Hotels,2018,Jul,508165.0,1149410.0,2.3
211,Hotels,2018,Aug,638335.0,1500958.0,2.4
212,Hotels,2018,Sep,491917.0,972150.0,2.0
213,Hotels,2018,Oct,384469.0,759622.0,2.0
214,Hotels,2018,Nov,237145.0,500036.0,2.1
215,Hotels,2018,Dec,221861.0,414244.0,1.9
216,Hotels,2019,Jan,165838.0,310111.0,1.9
217,Hotels,2019,Feb,182276.0,336183.0,1.8
218,Hotels,2019,Mar,236030.0,459639.0,2.0
219,Hotels,2019,Apr,361936.0,685300.0,1.9
220,Hotels,2019,May,425307.0,765901.0,1.8
221,Hotels,2019,Jun,458837.0,869655.0,1.9
222,Hotels,2019,Jul,538734.0,1218281.0,2.3
223,Hotels,2019,Aug,660807.0,1561584.0,2.4
224,Hotels,2019,Sep,528165.0,1035296.0,2.0
225,Hotels,2019,Oct,414582.0,790547.0,1.9
226,Hotels,2019,Nov,241546.0,500430.0,2.1
227,Hotels,2019,Dec,239907.0,460726.0,1.9
228,Hotels,2020,Jan,180317.0,339884.0,1.9
229,Hotels,2020,Feb,206955.0,389964.0,1.9
230,Hotels,2020,Mar,89509.0,181298.0,2.0
231,Hotels,2020,Apr,0.0,0.0,0.0
232,Hotels,2020,May,5047.0,18199.0,3.6
233,Hotels,2020,Jun,56948.0,116471.0,2.1
234,Hotels,2020,Jul,264759.0,608700.0,2.3
235,Hotels,2020,Aug,396344.0,919074.0,2.3
236,Hotels,2020,Sep,211556.0,418692.0,2.0
237,Hotels,2020,Oct,142293.0,276943.0,2.0
238,Hotels,2020,Nov,53263.0,133067.0,2.5
239,Hotels,2020,Dec,53096.0,124003.0,2.3
240,Hotels,2021,Jan,43847.0,111342.0,2.5
241,Hotels,2021,Feb,42639.0,101490.0,2.4
242,Hotels,2021,Mar,87430.0,176822.0,2.0
243,Hotels,2021,Apr,100896.0,192632.0,1.9
244,Hotels,2021,May,154200.0,284554.0,1.9
245,Hotels,2021,Jun,270110.0,519822.0,1.9
246,Hotels,2021,Jul,498954.0,1081020.0,2.2
247,Hotels,2021,Aug,655951.0,1518874.0,2.3
248,Hotels,2021,Sep,464492.0,933729.0,2.0
249,Hotels,2021,Oct,399130.0,747281.0,1.9
250,Hotels,2021,Nov,230884.0,435577.0,1.9
251,Hotels,2021,Dec,202542.0,393769.0,1.9
252,Hotels,2022,Jan,127380.0,236312.0,1.9
253,Hotels,2022,Feb,177628.0,319265.0,1.8
254,Hotels,2022,Mar,215509.0,411995.0,1.9
255,Hotels,2022,Apr,379028.0,682981.0,1.8
256,Hotels,2022,May,442557.0,766477.0,1.7
257,Hotels,2022,Jun,481511.0,892970.0,1.9
258,Hotels,2022,Jul,615150.0,1305670.0,2.1
259,Hotels,2022,Aug,726543.0,1614350.0,2.2
260,Campings,2001,Jan,106.0,213.0,2.0
261,Campings,2001,Feb,148.0,260.0,1.8
262,Campings,2001,Mar,182.0,257.0,1.4
263,Campings,2001,Apr,3861.0,10419.0,2.7
264,Campings,2001,May,1364.0,3809.0,2.8
265,Campings,2001,Jun,14035.0,50665.0,3.6
266,Campings,2001,Jul,69703.0,296203.0,4.3
267,Campings,2001,Aug,100646.0,391973.0,3.9
268,Campings,2001,Sep,9902.0,33747.0,3.4
269,Campings,2001,Oct,669.0,1661.0,2.5
270,Campings,2001,Nov,317.0,630.0,2.0
271,Campings,2001,Dec,80.0,248.0,3.1
272,Campings,2002,Jan,155.0,248.0,1.6
273,Campings,2002,Jan,155.0,248.0,1.6
274,Campings,2002,Feb,276.0,564.0,2.0
275,Campings,2002,Mar,1457.0,4353.0,3.0
276,Campings,2002,Apr,1389.0,3069.0,2.2
277,Campings,2002,May,2135.0,6125.0,2.9
278,Campings,2002,Jun,13464.0,52649.0,3.9
279,Campings,2002,Jul,85829.0,343594.0,4.0
280,Campings,2002,Aug,93366.0,399323.0,4.3
281,Campings,2002,Sep,9263.0,32618.0,3.5
282,Campings,2002,Oct,505.0,1027.0,2.0
283,Campings,2002,Oct,505.0,1027.0,2.0
284,Campings,2002,Nov,189.0,364.0,1.9
285,Campings,2002,Nov,189.0,364.0,1.9
286,Campings,2002,Dec,1293.0,5722.0,4.4
287,Campings,2003,Jan,656.0,4192.0,6.4
288,Campings,2003,Feb,649.0,2967.0,4.6
289,Campings,2003,Mar,285.0,466.0,1.6
290,Campings,2003,Apr,2118.0,6237.0,2.9
291,Campings,2003,May,3108.0,6542.0,2.1
292,Campings,2003,Jun,12494.0,41115.0,3.3
293,Campings,2003,Jul,55874.0,245160.0,4.4
294,Campings,2003,Aug,104530.0,416396.0,4.0
295,Campings,2003,Sep,11320.0,41082.0,3.6
296,Campings,2003,Oct,0.0,0.0,0.0
297,Campings,2003,Oct,0.0,0.0,0.0
298,Campings,2003,Oct,0.0,0.0,0.0
299,Campings,2003,Nov,391.0,704.0,1.8
300,Campings,2003,Dec,163.0,560.0,3.4
301,Campings,2004,Jan,145.0,234.0,1.6
302,Campings,2004,Feb,211.0,386.0,1.8
303,Campings,2004,Mar,598.0,1021.0,1.7
304,Campings,2004,Apr,3177.0,8636.0,2.7
305,Campings,2004,May,3801.0,9007.0,2.4
306,Campings,2004,Jun,16680.0,66754.0,4.0
307,Campings,2004,Jul,83159.0,291324.0,3.5
