"Viaxeiros, noites e estadía media por procedencia e tipo de aloxamento. España e Galicia. Datos mensuais"
"Número, días"


;;;;;;;
;España;;;Galicia;;;
;"Viaxeiros";"Noites";"Estadía media";"Viaxeiros";"Noites";"Estadía media";
"Todas as procedencias"
"Establecementos hoteleiros"
"2008/Abril";6656665;19300764;2,9;262492;541130;2,1
"2008/Maio";8109904;25060656;3,1;330869;685871;2,1
"2008/Xuño";8280336;27737509;3,4;325833;702436;2,2
"2008/Xullo";9219035;34559658;3,8;405295;964138;2,4
"2008/Agosto";9954774;37945216;3,8;511162;1252030;2,5
"2008/Setembro";8359855;29305643;3,5;352205;777991;2,2
"2008/Outubro";7035977;22253202;3,2;314422;677489;2,2
"2008/Novembro";4870882;13685099;2,8;209534;454474;2,2
"2008/Decembro";4326374;11946130;2,8;173633;364733;2,1
"2009/Xaneiro";3716510;11203819;3;152215;313760;2,1
"2009/Febreiro";4447323;12527991;2,8;172693;351328;2
"2009/Marzo";5303127;15536341;2,9;201440;428640;2,1
"2009/Abril";6542718;19591068;3;261619;556533;2,1
"2009/Maio";7378804;22661503;3,1;296292;612711;2,1
"2009/Xuño";7630129;26082353;3,4;316161;679821;2,2
"2009/Xullo";8712905;32764251;3,8;405787;956703;2,4
"2009/Agosto";9423345;36192581;3,8;525735;1282553;2,4
"2009/Setembro";7827994;27387006;3,5;365607;794415;2,2
"2009/Outubro";7011612;21752259;3,1;324035;685041;2,1
"2009/Novembro";4710822;13255271;2,8;198713;424307;2,1
"2009/Decembro";4435027;12030368;2,7;179159;358644;2
"2010/Xaneiro";3767159;11308373;3;143036;288774;2
"2010/Febreiro";4610953;13108750;2,8;170478;341801;2
"2010/Marzo";5706500;16752851;2,9;229789;472665;2,1
"2010/Abril";6786265;19843019;2,9;302232;631319;2,1
"2010/Maio";7810020;23982979;3,1;353932;703132;2
"2010/Xuño";8087317;27357010;3,4;380253;790352;2,1
"2010/Xullo";9399554;34909440;3,7;460670;1041017;2,3
"2010/Agosto";10014468;39085826;3,9;562156;1363203;2,4
"2010/Setembro";8400100;29696355;3,5;428272;936722;2,2
"2010/Outubro";7679996;23976893;3,1;366463;778452;2,1
"2010/Novembro";4976017;14363392;2,9;212608;446516;2,1
"2010/Decembro";4650521;12778595;2,8;189104;380185;2
"2011/Xaneiro";3929632;12183118;3,1;133249;264126;2
"2011/Febreiro";4831381;14238644;3;151539;301992;2
"2011/Marzo";5829113;18086818;3,1;187904;385662;2,1
"2011/Abril";7423129;22618769;3,1;270104;573610;2,1
"2011/Maio";7797227;24670723;3,2;287655;584293;2
"2011/Xuño";8809958;30704218;3,5;337527;687658;2
"2011/Xullo";10051429;37980214;3,8;436211;995351;2,3
"2011/Agosto";10608293;41694917;3,9;533274;1238733;2,3
"2011/Setembro";8916593;32099863;3,6;377652;789680;2,1
"2011/Outubro";7673432;24764256;3,2;301455;632895;2,1
"2011/Novembro";4902197;14674921;3;176753;379528;2,2
"2011/Decembro";4594592;13044798;2,8;160744;324808;2
"2012/Xaneiro";4034869;12600203;3,1;131548;252363;1,9
"2012/Febreiro";4762348;14163457;3;158105;293888;1,9
"2012/Marzo";5771561;17393498;3;185527;368188;2
"2012/Abril";7103715;21445224;3;264162;516845;2
"2012/Maio";7725234;24628932;3,2;274675;529467;1,9
"2012/Xuño";8587613;30243838;3,5;314766;621732;2
"2012/Xullo";9616052;37395658;3,9;382199;858680;2,3
"2012/Agosto";10239776;40581091;4;512595;1192209;2,3
"2012/Setembro";8756163;32045387;3,7;366450;738346;2
"2012/Outubro";7258395;23909187;3,3;292194;593495;2
"2012/Novembro";4772075;13854509;2,9;178517;377337;2,1
"2012/Decembro";4334680;12398564;2,9;155608;300775;1,9
"2013/Xaneiro";3694459;11887105;3,2;129630;252630;2
"2013/Febreiro";4347642;13104722;3;137974;274269;2
"2013/Marzo";6171037;18815829;3,1;212889;416611;2
"2013/Abril";6283128;19135958;3,1;215955;413115;1,9
"2013/Maio";8113029;26359256;3,3;304175;557376;1,8
"2013/Xuño";8725022;30808604;3,5;342241;620747;1,8
"2013/Xullo";9644412;37670863;3,9;428494;901969;2,1
"2013/Agosto";10715764;41900828;3,9;577496;1286495;2,2
"2013/Setembro";8886542;32647844;3,7;393134;776613;2
"2013/Outubro";7468192;25015770;3,4;289918;567519;2
"2013/Novembro";5112181;15087587;3;183610;382620;2,1
"2013/Decembro";4659511;13595795;2,9;158644;311722;2
"2014/Xaneiro";3939144;12807505;3,3;121683;243482;2
"2014/Febreiro";4657133;13875208;3;147368;273306;1,9
"2014/Marzo";5770836;18129451;3,1;173536;347773;2
"2014/Abril";7301730;22298622;3,1;275286;497394;1,8
"2014/Maio";8518421;26691702;3,1;342928;605385;1,8
"2014/Xuño";9038987;31567799;3,5;365093;672547;1,8
"2014/Xullo";9885449;37641540;3,8;463334;935350;2
"2014/Agosto";11228638;42991384;3,8;630950;1348682;2,1
"2014/Setembro";9342635;33858937;3,6;439837;841736;1,9
"2014/Outubro";7988684;26243441;3,3;333424;644457;1,9
"2014/Novembro";5144062;15113125;2,9;186778;379913;2
"2014/Decembro";4998810;14041916;2,8;167354;306595;1,8
"2015/Xaneiro";4251906;13342087;3,1;134299;245042;1,8
"2015/Febreiro";4937718;14513335;2,9;154119;277693;1,8
"2015/Marzo";6146078;18596568;3;214636;402529;1,9
"2015/Abril";7668482;23087381;3;296831;535116;1,8
"2015/Maio";9087139;28041622;3,1;373093;629586;1,7
"2015/Xuño";9481768;32092513;3,4;435025;758369;1,7
"2015/Xullo";10616662;39850064;3,8;561337;1089423;1,9
"2015/Agosto";11747649;44813404;3,8;675925;1456226;2,2
"2015/Setembro";9766395;34918861;3,6;485775;897307;1,9
"2015/Outubro";8685869;28073790;3,2;374290;692765;1,9
"2015/Novembro";5509265;15862738;2,9;198161;371364;1,9
"2015/Decembro";5318037;15043365;2,8;182698;329282;1,8
"2016/Xaneiro";4689264;14470851;3,1;148902;265687;1,8
"2016/Febreiro";5561906;16379849;3;173224;317397;1,8
"2016/Marzo";7221796;22022933;3,1;262252;493117;1,9
"2016/Abril";7675800;23387155;3,1;280355;491565;1,8
"2016/Maio";9569945;30401275;3,2;386192;642368;1,7
"2016/Xuño";10180427;34430872;3,4;458661;792141;1,7
"2016/Xullo";11605320;42948946;3,7;584427;1203311;2,1
"2016/Agosto";12187504;46502956;3,8;703201;1524943;2,2
"2016/Setembro";10486719;37218422;3,6;517662;970571;1,9
"2016/Outubro";9274924;30587997;3,3;406240;770664;1,9
"2016/Novembro";5786675;17134705;3;216372;424881;2
"2016/Decembro";5540097;16013165;2,9;187963;355234;1,9
"2017/Xaneiro";4984634;15200690;3,1;158633;282884;1,8
"2017/Febreiro";5689624;16346534;2,9;179698;310984;1,7
"2017/Marzo";6921086;20508641;3;222560;410421;1,8
"2017/Abril";9209286;27549426;3;377253;694042;1,8
"2017/Maio";9844007;31439920;3,2;399010;683429;1,7
"2017/Xuño";10640606;36646402;3,4;466956;868876;1,9
"2017/Xullo";11910574;43624461;3,7;588140;1267165;2,2
"2017/Agosto";12338502;46657187;3,8;705408;1615964;2,3
"2017/Setembro";10933324;37961599;3,5;527839;1014086;1,9
"2017/Outubro";9458368;30898617;3,3;428851;810140;1,9
"2017/Novembro";6068289;17537436;2,9;239171;466701;2
"2017/Decembro";5805767;16211799;2,8;202132;383233;1,9
"2018/Xaneiro";5133729;15395882;3;164009;303264;1,9
"2018/Febreiro";5826145;16527859;2,8;181676;326011;1,8
"2018/Marzo";7532288;21918931;2,9;267366;494182;1,9
"2018/Abril";8499926;25207350;3;302710;580378;1,9
"2018/Maio";10040281;31921157;3,2;382717;680504;1,8
"2018/Xuño";10846347;36168465;3,3;426307;813193;1,9
"2018/Xullo";11707840;42717096;3,7;508165;1149410;2,3
"2018/Agosto";12500596;46306240;3,7;638335;1500958;2,4
"2018/Setembro";11000902;37768667;3,4;491917;972150;2
"2018/Outubro";9666570;31132356;3,2;384469;759622;2
"2018/Novembro";6485702;18261076;2,8;237145;500036;2,1
"2018/Decembro";6071139;16655848;2,7;221861;414244;1,9
"2019/Xaneiro";5251558;15506154;3;165838;310111;1,9
"2019/Febreiro";6011298;16589486;2,8;182276;336183;1,8
"2019/Marzo";7534311;21520914;2,9;236030;459639;2
"2019/Abril";9138989;26808982;2,9;361936;685300;1,9
"2019/Maio";10509949;31905788;3;425307;765901;1,8
"2019/Xuño";11371775;37163185;3,3;458837;869655;1,9
"2019/Xullo";12124664;43199530;3,6;538734;1218281;2,3
"2019/Agosto";13028096;47059511;3,6;660807;1561584;2,4
"2019/Setembro";11038778;37572668;3,4;528165;1035296;2
"2019/Outubro";9772631;30363238;3,1;414582;790547;1,9
"2019/Novembro";6693210;18339394;2,7;241546;500430;2,1
"2019/Decembro";6240788;16966744;2,7;239907;460726;1,9
"2020/Xaneiro";5577618;15968171;2,9;180317;339884;1,9
"2020/Febreiro";6456402;17614206;2,7;206955;389964;1,9
"2020/Marzo";2656776;8372820;3,2;89509;181298;2
"2020/Abril";0;0;0;0;0;0
"2020/Maio";98561;271149;2,8;5047;18199;3,6
"2020/Xuño";944923;1870057;2;56948;116471;2,1
"2020/Xullo";4407783;11731245;2,7;264759;608700;2,3
"2020/Agosto";5924218;16927211;2,9;396344;919074;2,3
"2020/Setembro";3513294;8219094;2,3;211556;418692;2
"2020/Outubro";2406759;5128825;2,1;142293;276943;2
"2020/Novembro";1184922;2874269;2,4;53263;133067;2,5
"2020/Decembro";1417815;3245991;2,3;53096;124003;2,3
"2021/Xaneiro";1124601;2459473;2,2;43847;111342;2,5
"2021/Febreiro";1179236;2436961;2,1;42639;101490;2,4
"2021/Marzo";1770722;3588559;2;87430;176822;2
"2021/Abril";1955719;4142415;2,1;100896;192632;1,9
"2021/Maio";3404118;7342738;2,2;154200;284554;1,9
"2021/Xuño";5676067;14259621;2,5;270110;519822;1,9
"2021/Xullo";8544001;26351353;3,1;498954;1081020;2,2
"2021/Agosto";10408035;34460041;3,3;655951;1518874;2,3
"2021/Setembro";8256057;25679512;3,1;464492;933729;2
"2021/Outubro";8131666;23935219;2,9;399130;747281;1,9
"2021/Novembro";5391958;14930647;2,8;230884;435577;1,9
"2021/Decembro";4881952;13220155;2,7;202542;393769;1,9
"2022/Xaneiro";3751404;10535401;2,8;127380;236312;1,9
"2022/Febreiro";5142667;13619131;2,7;177628;319265;1,8
"2022/Marzo";6061335;17641307;2,9;215509;411995;1,9
"2022/Abril";8659193;25143654;2,9;379028;682981;1,8
"2022/Maio";9873034;29840173;3;442557;766477;1,7
"2022/Xuño";11001231;35179402;3,2;481511;892970;1,9
"2022/Xullo";12302057;42354522;3,4;615150;1305670;2,1
"2022/Agosto";12858732;46293221;3,6;726543;1614350;2,2
"Campamentos turísticos"
"2001/Xaneiro";74077;610631;8,2;106;213;2
"2001/Febreiro";94216;661869;7;148;260;1,8
"2001/Marzo";153151;766973;5;182;257;1,4
"2001/Abril";562854;2029034;3,6;3861;10419;2,7
"2001/Maio";350987;1294749;3,7;1364;3809;2,8
"2001/Xuño";618809;2293948;3,7;14035;50665;3,6
"2001/Xullo";1490929;7695126;5,2;69703;296203;4,3
"2001/Agosto";1868831;10960084;5,9;100646;391973;3,9
"2001/Setembro";471494;2212046;4,7;9902;33747;3,4
"2001/Outubro";186968;827295;4,4;669;1661;2,5
"2001/Novembro";97029;605697;6,2;317;630;2
"2001/Decembro";89004;643289;7,2;80;248;3,1
"2002/Xaneiro";75561;642838;8,5;155;248;1,6
"2002/Febreiro";98369;698488;7,1;276;564;2
"2002/Marzo";320388;1459244;4,6;1457;4353;3
"2002/Abril";290874;1080651;3,7;1389;3069;2,2
"2002/Maio";401230;1459251;3,6;2135;6125;2,9
"2002/Xuño";671931;2508686;3,7;13464;52649;3,9
"2002/Xullo";1493613;7927260;5,3;85829;343594;4
"2002/Agosto";1768721;10980245;6,2;93366;399323;4,3
"2002/Setembro";489158;2388737;4,9;9263;32618;3,5
"2002/Outubro";192541;798514;4,2;505;1027;2
"2002/Novembro";115162;639533;5,6;189;364;1,9
"2002/Decembro";102531;689238;6,7;1293;5722;4,4
"2003/Xaneiro";96345;682929;7,1;656;4192;6,4
"2003/Febreiro";113932;738595;6,5;649;2967;4,6
"2003/Marzo";162825;841378;5,2;285;466;1,6
"2003/Abril";525820;1829429;3,5;2118;6237;2,9
"2003/Maio";519644;1734859;3,3;3108;6542;2,1
"2003/Xuño";767861;2701383;3,5;12494;41115;3,3
"2003/Xullo";1598616;7291761;4,6;55874;245160;4,4
"2003/Agosto";2225168;10631285;4,8;104530;416396;4
"2003/Setembro";581820;2334886;4;11320;41082;3,6
"2003/Outubro";195499;849114;4,3;..;..;..
"2003/Novembro";128250;717138;5,6;391;704;1,8
"2003/Decembro";116809;762448;6,5;163;560;3,4
