Comunidades y Ciudades Autónomas de destino	País de residencia	Periodo	Total
Galicia	Irlanda	2019T3	249,75
Galicia	Irlanda	2019T2	233,56
Galicia	Irlanda	2019T1	108,78
Galicia	Irlanda	2018T4	201,10
Galicia	Irlanda	2018T3	296,43
Galicia	Irlanda	2018T2	258,85
Galicia	Irlanda	2018T1	226,00
Galicia	Italia	2022T1	125,77
Galicia	Italia	2021T4	126,46
Galicia	Italia	2021T3	125,84
Galicia	Italia	2021T2	104,03
Galicia	Italia	2021T1	96,76
Galicia	Italia	2020T4	108,80
Galicia	Italia	2020T3	120,14
Galicia	Italia	2020T2	.
Galicia	Italia	2020T1	167,20
Galicia	Italia	2019T4	212,71
Galicia	Italia	2019T3	228,83
Galicia	Italia	2019T2	215,69
Galicia	Italia	2019T1	126,65
Galicia	Italia	2018T4	191,09
Galicia	Italia	2018T3	242,43
Galicia	Italia	2018T2	224,61
Galicia	Italia	2018T1	215,75
Galicia	Noruega	2022T1	206,54
Galicia	Noruega	2021T4	194,81
Galicia	Noruega	2021T3	198,37
Galicia	Noruega	2021T2	178,81
Galicia	Noruega	2021T1	160,89
Galicia	Noruega	2020T4	183,21
Galicia	Noruega	2020T3	146,53
Galicia	Noruega	2020T2	.
Galicia	Noruega	2020T1	196,09
Galicia	Noruega	2019T4	278,36
Galicia	Noruega	2019T3	267,29
Galicia	Noruega	2019T2	280,45
Galicia	Noruega	2019T1	189,19
Galicia	Noruega	2018T4	242,13
Galicia	Noruega	2018T3	277,19
Galicia	Noruega	2018T2	268,58
Galicia	Noruega	2018T1	296,32
Galicia	Países Bajos	2022T1	154,13
Galicia	Países Bajos	2021T4	156,91
Galicia	Países Bajos	2021T3	149,67
Galicia	Países Bajos	2021T2	126,37
Galicia	Países Bajos	2021T1	111,20
Galicia	Países Bajos	2020T4	117,36
Galicia	Países Bajos	2020T3	126,65
Galicia	Países Bajos	2020T2	.
Galicia	Países Bajos	2020T1	183,52
Galicia	Países Bajos	2019T4	236,78
Galicia	Países Bajos	2019T3	242,87
Galicia	Países Bajos	2019T2	246,78
Galicia	Países Bajos	2019T1	135,22
Galicia	Países Bajos	2018T4	205,06
Galicia	Países Bajos	2018T3	255,79
Galicia	Países Bajos	2018T2	238,34
Galicia	Países Bajos	2018T1	245,10
Galicia	Polonia	2022T1	102,15
Galicia	Polonia	2021T4	94,94
Galicia	Polonia	2021T3	99,29
Galicia	Polonia	2021T2	82,26
Galicia	Polonia	2021T1	64,63
Galicia	Polonia	2020T4	71,02
Galicia	Polonia	2020T3	73,39
Galicia	Polonia	2020T2	.
Galicia	Polonia	2020T1	102,29
Galicia	Polonia	2019T4	127,31
Galicia	Polonia	2019T3	155,38
Galicia	Polonia	2019T2	143,62
