Totales Territoriales	Comunidades y Ciudades Autónomas	Residencia: Nivel 1	Residencia: Nivel 2	Viajeros y pernoctaciones	Periodo	Total
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2020M11	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2020M10	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2020M09	257
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2020M08	311
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2020M07	94
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2020M06	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2020M05	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2020M04	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2020M03	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2020M02	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2020M01	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2019M12	115
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2019M11	245
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2019M10	810
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2019M09	1.125
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2019M08	2.359
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2019M07	2.451
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2019M06	1.598
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2019M05	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2019M04	117
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2019M03	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2019M02	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2019M01	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2018M12	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2018M11	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2018M10	140
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2018M09	122
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2018M08	195
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2018M07	1.023
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2018M06	238
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2018M05	126
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2018M04	172
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2018M03	84
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2018M02	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2018M01	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2017M12	161
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2017M11	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2017M10	148
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2017M09	305
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2017M08	302
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2017M07	1.710
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2017M06	115
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2017M05	186
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2017M04	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2017M03	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2017M02	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2017M01	.
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2016M12	53
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2016M11	20
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2016M10	91
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2016M09	159
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2016M08	293
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2016M07	1.000
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2016M06	70
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2016M05	71
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2016M04	88
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2016M03	20
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2016M02	21
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2016M01	11
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2015M12	27
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2015M11	20
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2015M10	65
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2015M09	124
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2015M08	144
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2015M07	2.997
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2015M06	25
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2015M05	49
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2015M04	3
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2015M03	1
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2015M02	7
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2015M01	9
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2014M12	1
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2014M11	4
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2014M10	79
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2014M09	258
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2014M08	898
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2014M07	3.229
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2014M06	513
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2014M05	248
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2014M04	1.366
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2014M03	96
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2014M02	11
Total Nacional	12 Galicia	Total 	Residentes en el Extranjero	Pernoctaciones	2014M01	16
