Tipo de alojamiento	Total Nacional	Comunidades y Ciudades Autónomas	Periodo	Total
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2016M02	1,83
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2016M01	1,78
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2015M12	1,80
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2015M11	1,87
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2015M10	1,85
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2015M09	1,85
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2015M08	2,15
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2015M07	1,94
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2015M06	1,74
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2015M05	1,69
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2015M04	1,80
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2015M03	1,88
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2015M02	1,80
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2015M01	1,82
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2014M12	1,83
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2014M11	2,03
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2014M10	1,93
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2014M09	1,91
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2014M08	2,14
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2014M07	2,02
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2014M06	1,84
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2014M05	1,77
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2014M04	1,81
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2014M03	2,00
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2014M02	1,85
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2014M01	2,00
