Tipo de alojamiento	Total Nacional	Comunidades y Ciudades Autónomas	Residencia: Nivel 1	Residencia: Nivel 2	Viajeros y pernoctaciones	Periodo	Total
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2018M01	138.288
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M12	171.455
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M11	193.308
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M10	276.745
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M09	324.660
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M08	532.857
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M07	427.993
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M06	294.836
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M05	231.162
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M04	275.310
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M03	183.403
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M02	150.944
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M01	133.806
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2016M12	158.715
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2016M11	176.386
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2016M10	271.124
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2016M09	327.416
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2016M08	526.636
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2016M07	434.600
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2016M06	290.026
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2016M05	224.761
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2016M04	197.903
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2016M03	218.093
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2016M02	148.909
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2016M01	128.415
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2015M12	155.244
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2015M11	161.194
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2015M10	252.380
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2015M09	312.121
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2015M08	504.571
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2015M07	408.165
