Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2002M10	60.953
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2002M09	71.668
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2002M08	144.238
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2002M07	95.161
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2002M06	64.610
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2002M05	56.279
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2002M04	54.524
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2002M03	59.752
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2002M02	42.472
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2002M01	36.991
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2001M12	48.298
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2001M11	55.337
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2001M10	67.570
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2001M09	76.328
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2001M08	131.125
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2001M07	85.430
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2001M06	66.574
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2001M05	61.807
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2001M04	62.697
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2001M03	52.000
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2001M02	43.097
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2001M01	41.905
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2000M12	46.520
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2000M11	53.095
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2000M10	76.248
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2000M09	83.311
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2000M08	140.902
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2000M07	90.986
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2000M06	71.406
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2000M05	66.822
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2000M04	69.841
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2000M03	59.144
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2000M02	49.595
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2000M01	41.504
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	1999M12	64.765
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	1999M11	74.436
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	1999M10	123.555
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	1999M09	138.793
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	1999M08	164.834
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	1999M07	125.803
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	1999M06	99.298
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	1999M05	86.226
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	1999M04	85.800
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	1999M03	64.408
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	1999M02	57.482
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	1999M01	51.037
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2022M08	80.752
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2022M07	80.806
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2022M06	95.807
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2022M05	97.902
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2022M04	57.768
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2022M03	24.748
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2022M02	13.382
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2022M01	10.846
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2021M12	12.458
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2021M11	20.755
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2021M10	52.210
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2021M09	50.405
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2021M08	38.091
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2021M07	31.093
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2021M06	17.566
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2021M05	7.570
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2021M04	2.890
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2021M03	2.879
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2021M02	1.380
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2021M01	1.697
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2020M12	2.012
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2020M11	2.921
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2020M10	7.301
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2020M09	9.193
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2020M08	17.248
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2020M07	11.394
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2020M06	1.485
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2020M05	135
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2020M04	0
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2020M03	6.964
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2020M02	19.758
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2020M01	16.962
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2019M12	16.713
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2019M11	26.033
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2019M10	80.071
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2019M09	96.970
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2019M08	75.809
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2019M07	66.236
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2019M06	85.363
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2019M05	91.799
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2019M04	59.056
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2019M03	25.439
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2019M02	14.507
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2019M01	14.508
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2018M12	16.504
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2018M11	26.098
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2018M10	70.710
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2018M09	87.336
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2018M08	83.274
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2018M07	67.530
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2018M06	81.602
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2018M05	88.112
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2018M04	47.970
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2018M03	26.044
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2018M02	16.209
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2018M01	14.014
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2017M12	15.935
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2017M11	30.300
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2017M10	95.022
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2017M09	114.524
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2017M08	92.013
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2017M07	84.469
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2017M06	100.977
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2017M05	100.749
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2017M04	57.887
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2017M03	24.519
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2017M02	15.560
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2017M01	14.186
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2016M12	15.831
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2016M11	25.019
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2016M10	86.702
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2016M09	109.821
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2016M08	100.661
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2016M07	83.214
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2016M06	99.513
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2016M05	101.220
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2016M04	50.084
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2016M03	26.744
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2016M02	13.426
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2016M01	11.094
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2015M12	15.551
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2015M11	23.563
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2015M10	79.313
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2015M09	109.584
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2015M08	105.779
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2015M07	95.818
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2015M06	103.830
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2015M05	94.357
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2015M04	51.660
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2015M03	23.346
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2015M02	11.720
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2015M01	10.985
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2014M12	12.608
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2014M11	18.517
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2014M10	68.340
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2014M09	91.544
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2014M08	84.463
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2014M07	74.266
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2014M06	81.432
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2014M05	78.960
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2014M04	41.636
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2014M03	14.608
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2014M02	10.866
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2014M01	9.976
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2013M12	10.503
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2013M11	17.127
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2013M10	52.421
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2013M09	71.487
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2013M08	73.270
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2013M07	63.568
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2013M06	69.579
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2013M05	64.295
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2013M04	35.086
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2013M03	18.670
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2013M02	10.666
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2013M01	8.693
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2012M12	11.543
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2012M11	14.196
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2012M10	43.978
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2012M09	65.807
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2012M08	61.918
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2012M07	47.703
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2012M06	50.831
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2012M05	54.468
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2012M04	34.332
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2012M03	15.321
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2012M02	10.452
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2012M01	9.207
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2011M12	9.340
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2011M11	14.421
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2011M10	38.093
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2011M09	57.923
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2011M08	63.328
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2011M07	50.356
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2011M06	49.322
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2011M05	47.422
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2011M04	30.157
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2011M03	14.668
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2011M02	10.078
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2011M01	8.258
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2010M12	11.927
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2010M11	14.851
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2010M10	45.757
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2010M09	60.349
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2010M08	58.280
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2010M07	53.864
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2010M06	47.508
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2010M05	49.028
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2010M04	28.818
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2010M03	14.233
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2010M02	12.420
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2010M01	8.596
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2009M12	11.349
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2009M11	15.029
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2009M10	38.802
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2009M09	46.273
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2009M08	45.116
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2009M07	43.470
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2009M06	42.366
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2009M05	42.948
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2009M04	25.737
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2009M03	14.622
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2009M02	13.359
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2009M01	9.759
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2008M12	10.977
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2008M11	16.156
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2008M10	33.032
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2008M09	42.025
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2008M08	46.301
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2008M07	41.378
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2008M06	42.770
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2008M05	47.664
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2008M04	31.766
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2008M03	19.491
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2008M02	15.494
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2008M01	11.613
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2007M12	13.590
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2007M11	19.537
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2007M10	43.384
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2007M09	48.925
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2007M08	56.408
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2007M07	47.819
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2007M06	48.956
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2007M05	47.897
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2007M04	34.045
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2007M03	16.985
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2007M02	14.505
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2007M01	10.989
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2006M12	13.663
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2006M11	14.654
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2006M10	33.463
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2006M09	41.307
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2006M08	49.654
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2006M07	43.003
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2006M06	39.525
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2006M05	40.455
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2006M04	29.785
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2006M03	14.876
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2006M02	13.091
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2006M01	12.006
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2005M12	13.487
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2005M11	16.288
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2005M10	33.779
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2005M09	42.293
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2005M08	51.505
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2005M07	42.885
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2005M06	38.887
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2005M05	36.436
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2005M04	26.529
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2005M03	15.484
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2005M02	10.508
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2005M01	8.992
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2004M12	11.003
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2004M11	15.475
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2004M10	32.739
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2004M09	44.526
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2004M08	47.853
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2004M07	40.787
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2004M06	32.715
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2004M05	36.958
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2004M04	22.944
