Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2015M12	155.244
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2015M11	161.194
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2015M10	252.380
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2015M09	312.121
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2015M08	504.571
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2015M07	408.165
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2015M06	273.485
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2015M05	221.350
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2015M04	214.954
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2015M03	177.739
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2015M02	132.654
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2015M01	114.604
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2014M12	143.794
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2014M11	156.078
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2014M10	232.581
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2014M09	286.817
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2014M08	479.843
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2014M07	340.620
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2014M06	234.163
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2014M05	209.214
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2014M04	204.276
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2014M03	147.056
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2014M02	129.189
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2014M01	105.476
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2013M12	139.117
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2013M11	156.933
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2013M10	208.133
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2013M09	270.135
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2013M08	451.989
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2013M07	325.560
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2013M06	227.905
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2013M05	196.695
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2013M04	157.662
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2013M03	178.499
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2013M02	118.884
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2013M01	113.740
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2012M12	133.041
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2012M11	153.029
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2012M10	218.505
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2012M09	252.680
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2012M08	398.558
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2012M07	293.436
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2012M06	226.777
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2012M05	182.177
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2012M04	206.239
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2012M03	156.904
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2012M02	138.387
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2012M01	113.860
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2011M12	140.786
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2011M11	151.606
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2011M10	232.510
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2011M09	275.096
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2011M08	417.788
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2011M07	343.931
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2011M06	243.176
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2011M05	201.701
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2011M04	215.276
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2011M03	160.293
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2011M02	132.340
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2011M01	116.959
