accommodation_type,year,month,travellers_Spain,travellers_Foreign,total_travellers,nights_Spain,nights_Foreign,total_nights,avg_days
Apartments,2011,Aug,10223,1243,11466,57889,6517,64406,5.62
Apartments,2011,Jul,8294,1000,9294,46299,5442,51741,5.57
Apartments,2011,Jun,4204,1168,5372,14614,3460,18074,3.36
Apartments,2011,May,2897,405,3302,9304,1439,10743,3.25
Apartments,2011,Apr,3886,310,4196,11984,1062,13046,3.11
Apartments,2011,Mar,1703,173,1876,6980,804,7784,4.15
Apartments,2011,Feb,1484,166,1650,5120,1306,6426,3.89
Apartments,2011,Jan,1454,218,1672,5138,1112,6250,3.74
Apartments,2010,Dec,2169,295,2464,7545,1425,8970,3.64
Apartments,2010,Nov,1378,204,1582,4834,828,5662,3.58
Apartments,2010,Oct,3073,509,3582,8818,1596,10414,2.91
Apartments,2010,Sep,5138,806,5944,20010,3256,23266,3.91
Apartments,2010,Aug,8933,1089,10022,58858,5645,64503,6.44
Apartments,2010,Jul,6928,833,7761,41714,3861,45575,5.87
Apartments,2010,Jun,3702,734,4436,12372,2940,15312,3.45
Apartments,2010,May,2983,623,3606,7425,1974,9399,2.61
Apartments,2010,Apr,2948,296,3244,9434,1536,10970,3.38
Apartments,2010,Mar,2022,273,2295,5752,1724,7476,3.26
Apartments,2010,Feb,1336,610,1946,4204,2290,6494,3.34
Apartments,2010,Jan,1342,89,1431,4554,1217,5771,4.03
Apartments,2009,Dec,2520,280,2800,7474,1146,8620,3.08
Apartments,2009,Nov,1114,78,1192,4277,1138,5415,4.54
Apartments,2009,Oct,3236,436,3672,9116,1802,10918,2.97
Apartments,2009,Sep,4166,638,4804,16894,2448,19342,4.03
Apartments,2009,Aug,8653,977,9630,57080,6170,63250,6.57
Apartments,2009,Jul,6436,649,7085,36946,4110,41056,5.8
Apartments,2009,Jun,3126,844,3970,12064,3548,15612,3.93
Apartments,2009,May,2580,490,3070,8413,1978,10391,3.38
Apartments,2009,Apr,3560,336,3896,11196,1806,13002,3.34
Apartments,2009,Mar,1803,229,2032,5954,1808,7762,3.82
Apartments,2009,Feb,1418,504,1922,5074,2466,7540,3.92
Apartments,2009,Jan,1462,317,1779,4933,1672,6605,3.71
Apartments,2008,Dec,2100,384,2484,6312,1873,8185,3.29
Apartments,2008,Nov,1338,212,1550,4742,1490,6232,4.02
Apartments,2008,Oct,1887,350,2237,6577,1479,8056,3.6
Apartments,2008,Sep,3362,714,4076,13774,2578,16352,4.01
Apartments,2008,Aug,7910,1217,9127,52751,6442,59193,6.49
Apartments,2008,Jul,6121,732,6853,36698,4468,41166,6.01
Apartments,2008,Jun,2758,664,3422,11818,3366,15184,4.44
Apartments,2008,May,2431,606,3037,7922,3442,11364,3.74
Apartments,2008,Apr,1796,450,2246,5356,2408,7764,3.46
Apartments,2008,Mar,3030,524,3554,9729,2731,12460,3.51
Apartments,2008,Feb,1863,537,2400,5822,2377,8199,3.42
Apartments,2008,Jan,1866,583,2449,5313,2210,7523,3.07
Apartments,2007,Dec,1849,374,2223,5835,2024,7859,3.54
Apartments,2007,Nov,1238,184,1422,4416,1402,5818,4.09
Apartments,2007,Oct,1972,323,2295,6072,2170,8242,3.59
Apartments,2007,Sep,3342,666,4008,15970,3148,19118,4.77
Apartments,2007,Aug,7515,953,8468,54211,6045,60256,7.12
Apartments,2007,Jul,6216,765,6981,37421,4236,41657,5.97
Apartments,2007,Jun,2852,570,3422,9738,2732,12470,3.64
Apartments,2007,May,1974,427,2401,5601,2622,8223,3.43
Apartments,2007,Apr,2978,434,3412,8388,2640,11028,3.23
Apartments,2007,Mar,1494,308,1802,5165,2149,7314,4.06
Apartments,2007,Feb,1292,356,1648,4646,2200,6846,4.15
Apartments,2007,Jan,1585,358,1943,3730,1618,5348,2.75
Apartments,2006,Dec,1632,432,2064,5767,1670,7437,3.6
Apartments,2006,Nov,1064,96,1160,4706,1056,5762,4.97
Apartments,2006,Oct,2518,223,2741,8436,1220,9656,3.52
Apartments,2006,Sep,2884,524,3408,12636,2032,14668,4.3
Apartments,2006,Aug,7186,821,8007,45651,3948,49599,6.2
Apartments,2006,Jul,7003,828,7831,34789,4656,39445,5.04
Apartments,2006,Jun,2524,434,2958,8746,2602,11348,3.84
Apartments,2006,May,1516,388,1904,5221,1963,7184,3.77
Apartments,2006,Apr,2584,300,2884,7762,1444,9206,3.19
Apartments,2006,Mar,1173,149,1322,4990,1035,6025,4.56
Apartments,2006,Feb,1384,354,1738,5752,1818,7570,4.36
Apartments,2006,Jan,1524,441,1965,4857,2015,6872,3.5
Apartments,2005,Dec,1401,428,1829,5647,2476,8123,4.44
Apartments,2005,Nov,1258,84,1342,5138,1162,6300,4.69
Apartments,2005,Oct,1418,193,1611,5735,2231,7966,4.94
Apartments,2005,Sep,2594,224,2818,13420,2100,15520,5.51
Apartments,2005,Aug,6070,609,6679,48514,4208,52722,7.89
Apartments,2005,Jul,5418,708,6126,35168,4899,40067,6.54
Apartments,2005,Jun,2236,498,2734,7136,3540,10676,3.9
Apartments,2005,May,1420,447,1867,4381,3756,8137,4.36
Apartments,2005,Apr,914,306,1220,3410,2802,6212,5.09
Apartments,2005,Mar,1704,376,2080,5898,2195,8093,3.89
Apartments,2005,Feb,1084,332,1416,3830,1852,5682,4.01
Apartments,2005,Jan,815,378,1193,3191,2090,5281,4.42
Apartments,2004,Dec,1527,378,1905,5993,1677,7670,4.03
Apartments,2004,Nov,721,106,827,2560,1100,3660,4.43
Apartments,2004,Oct,1985,127,2112,6552,951,7503,3.55
Apartments,2004,Sep,2016,192,2208,9661,1498,11159,5.05
Apartments,2004,Aug,4388,332,4720,38401,3079,41480,8.79
Apartments,2004,Jul,3840,355,4195,25641,2598,28239,6.73
Apartments,2004,Jun,2370,284,2654,8416,1507,9923,3.74
Apartments,2004,May,1237,183,1420,4188,1101,5289,3.73
Apartments,2004,Apr,1518,208,1726,6632,1104,7736,4.48
Apartments,2004,Mar,734,108,842,3723,978,4701,5.58
Apartments,2004,Feb,742,259,1001,3407,1224,4631,4.62
Apartments,2004,Jan,647,197,844,2847,856,3703,4.39
Apartments,2003,Dec,1118,381,1499,3839,1854,5693,3.8
Apartments,2003,Nov,688,36,724,2544,560,3104,4.29
Apartments,2003,Oct,676,57,733,2419,686,3105,4.24
Apartments,2003,Sep,1662,185,1847,8802,1327,10129,5.48
Apartments,2003,Aug,5158,189,5347,33735,2111,35846,6.7
Apartments,2003,Jul,3064,200,3264,19762,1480,21242,6.51
Apartments,2003,Jun,1948,130,2078,5752,1058,6810,3.28
Apartments,2003,May,1309,130,1439,3737,798,4535,3.15
Apartments,2003,Apr,2358,96,2454,6770,652,7422,3.02
Apartments,2003,Mar,926,224,1150,4007,935,4942,4.3
Apartments,2003,Feb,1039,466,1505,3290,1303,4593,3.05
Apartments,2003,Jan,1320,485,1805,3926,1391,5317,2.95
Apartments,2002,Dec,1009,383,1392,3554,1262,4816,3.46
Apartments,2002,Nov,690,10,700,2528,370,2898,4.14
Apartments,2002,Oct,869,55,924,3718,632,4350,4.7
Apartments,2002,Sep,1916,208,2124,8758,1110,9868,4.65
Apartments,2002,Aug,5487,694,6181,37421,3634,41055,6.64
Apartments,2002,Jul,2961,398,3359,21533,3348,24881,7.41
Apartments,2002,Jun,1690,246,1936,5762,1762,7524,3.89
Apartments,2002,May,1704,120,1824,5692,717,6409,3.52
Apartments,2002,Apr,1588,266,1854,4626,898,5524,2.98
Apartments,2002,Mar,2036,376,2412,6256,988,7244,3.0
Apartments,2002,Feb,1011,247,1258,3723,1028,4751,3.78
Apartments,2002,Jan,1032,349,1381,3400,824,4224,3.06
Apartments,2001,Dec,816,264,1080,3550,808,4358,4.04
Apartments,2001,Nov,526,4,530,3026,172,3198,6.03
Apartments,2001,Oct,655,200,855,3077,885,3962,4.64
Apartments,2001,Sep,2576,146,2722,10236,1254,11490,4.22
Apartments,2001,Aug,4183,250,4433,31151,2982,34133,7.7
Apartments,2001,Jul,3110,368,3478,24360,3143,27503,7.91
Apartments,2001,Jun,1389,165,1554,6371,1013,7384,4.75
Apartments,2001,May,1711,72,1783,5679,496,6175,3.46
Apartments,2001,Apr,2064,240,2304,7110,1208,8318,3.61
Apartments,2001,Mar,1389,327,1716,5154,1087,6241,3.64
Apartments,2001,Feb,1086,480,1566,4224,1498,5722,3.65
Apartments,2001,Jan,1240,537,1777,4055,1676,5731,3.23
Rural Tourism,2022,Aug,30362,10168,40530,81935,18976,100911,2.49
Rural Tourism,2022,Jul,21855,8461,30316,52202,16004,68206,2.25
Rural Tourism,2022,Jun,14301,7503,21804,25203,9626,34829,1.6
Rural Tourism,2022,May,12934,9716,22650,19445,11792,31237,1.38
Rural Tourism,2022,Apr,13446,5647,19093,24552,7273,31825,1.67
Rural Tourism,2022,Mar,4582,665,5247,6821,925,7746,1.48
Rural Tourism,2022,Feb,3964,518,4482,6452,785,7237,1.61
Rural Tourism,2022,Jan,2946,214,3160,4498,320,4818,1.52
Rural Tourism,2021,Dec,7460,623,8083,13992,1368,15360,1.9
Rural Tourism,2021,Nov,7383,1092,8475,12503,1976,14479,1.71
Rural Tourism,2021,Oct,15692,3860,19552,26893,5278,32171,1.65
Rural Tourism,2021,Sep,19350,5491,24841,36763,7401,44164,1.78
Rural Tourism,2021,Aug,36573,4504,41077,99439,8605,108044,2.63
Rural Tourism,2021,Jul,25411,2474,27885,59346,4819,64165,2.3
Rural Tourism,2021,Jun,10416,1142,11558,17962,1761,19723,1.71
Rural Tourism,2021,May,8227,445,8672,12020,675,12695,1.46
Rural Tourism,2021,Apr,5358,211,5569,9000,850,9850,1.77
Rural Tourism,2021,Mar,3226,103,3329,5202,163,5365,1.61
Rural Tourism,2021,Feb,292,0,292,768,0,768,2.63
Rural Tourism,2021,Jan,597,4,601,1253,8,1261,2.1
Rural Tourism,2020,Dec,1414,15,1429,2510,21,2531,1.77
Rural Tourism,2020,Nov,-1,-1,-2,-1,-1,-2,1.8
Rural Tourism,2020,Oct,5923,221,6144,10408,396,10804,1.76
Rural Tourism,2020,Sep,10625,905,11530,21641,1401,23042,2.0
Rural Tourism,2020,Aug,26122,1968,28090,75147,4605,79752,2.84
Rural Tourism,2020,Jul,14506,970,15476,39973,2783,42756,2.76
Rural Tourism,2020,Jun,3585,48,3633,7539,70,7609,2.09
Rural Tourism,2020,May,-1,-1,-2,-1,-1,-2,1.35
Rural Tourism,2020,Apr,-1,-1,-2,-1,-1,-2,1.0
Rural Tourism,2020,Mar,1151,228,1379,1838,254,2092,1.52
Rural Tourism,2020,Feb,4833,593,5426,7445,773,8218,1.51
Rural Tourism,2020,Jan,3549,489,4038,5439,634,6073,1.5
Rural Tourism,2019,Dec,8055,988,9043,15556,1582,17138,1.9
Rural Tourism,2019,Nov,7445,1203,8648,11908,1657,13565,1.57
Rural Tourism,2019,Oct,11482,7310,18792,18588,8956,27544,1.47
Rural Tourism,2019,Sep,16084,12884,28968,29322,17069,46391,1.6
Rural Tourism,2019,Aug,34278,9801,44079,92647,19867,112514,2.55
Rural Tourism,2019,Jul,20847,8516,29363,50196,16955,67151,2.29
Rural Tourism,2019,Jun,15416,11341,26757,25416,15280,40696,1.52
Rural Tourism,2019,May,12270,11166,23436,19041,16933,35974,1.53
Rural Tourism,2019,Apr,13520,6047,19567,25230,9133,34363,1.76
Rural Tourism,2019,Mar,7090,1178,8268,11326,2402,13728,1.66
Rural Tourism,2019,Feb,5374,559,5933,8041,1887,9928,1.67
Rural Tourism,2019,Jan,3959,566,4525,7121,875,7996,1.77
Rural Tourism,2018,Dec,8457,949,9406,15403,2152,17555,1.87
Rural Tourism,2018,Nov,8653,1400,10053,14413,2443,16856,1.68
Rural Tourism,2018,Oct,12952,7974,20926,21943,11436,33379,1.6
Rural Tourism,2018,Sep,18060,11416,29476,32737,16726,49463,1.68
Rural Tourism,2018,Aug,32012,9301,41313,87484,21967,109451,2.65
Rural Tourism,2018,Jul,19928,7843,27771,45155,15637,60792,2.19
Rural Tourism,2018,Jun,14982,8539,23521,24383,13342,37725,1.6
Rural Tourism,2018,May,11897,8964,20861,18919,11988,30907,1.48
Rural Tourism,2018,Apr,9128,3793,12921,15520,5469,20989,1.62
Rural Tourism,2018,Mar,10626,1669,12295,20288,2817,23105,1.88
Rural Tourism,2018,Feb,5343,857,6200,8972,1630,10602,1.71
Rural Tourism,2018,Jan,3962,580,4542,6169,1119,7288,1.6
Rural Tourism,2017,Dec,8857,598,9455,19428,1496,20924,2.21
Rural Tourism,2017,Nov,7800,945,8745,12758,1805,14563,1.67
Rural Tourism,2017,Oct,13123,5654,18777,24210,9246,33456,1.78
Rural Tourism,2017,Sep,17945,9701,27646,35247,16098,51345,1.86
Rural Tourism,2017,Aug,32464,9190,41654,95040,24130,119170,2.86
Rural Tourism,2017,Jul,23542,8309,31851,57006,19070,76076,2.39
Rural Tourism,2017,Jun,14223,8410,22633,24864,13978,38842,1.72
Rural Tourism,2017,May,10069,8013,18082,15662,12340,28002,1.55
Rural Tourism,2017,Apr,15625,4391,20016,31194,7180,38374,1.92
Rural Tourism,2017,Mar,6687,974,7661,10142,1447,11589,1.51
Rural Tourism,2017,Feb,4722,782,5504,7330,1504,8834,1.6
Rural Tourism,2017,Jan,4106,388,4494,7178,687,7865,1.75
Rural Tourism,2016,Dec,8122,949,9071,14989,2073,17062,1.88
Rural Tourism,2016,Nov,6516,956,7472,10309,2149,12458,1.67
Rural Tourism,2016,Oct,13217,6253,19470,23115,9875,32990,1.69
Rural Tourism,2016,Sep,16845,11347,28192,32732,17813,50545,1.79
Rural Tourism,2016,Aug,32764,10016,42780,94903,24092,118995,2.78
Rural Tourism,2016,Jul,22229,9407,31636,52104,22348,74452,2.35
Rural Tourism,2016,Jun,14222,7351,21573,24745,12638,37383,1.73
Rural Tourism,2016,May,10359,8493,18852,16112,11456,27568,1.46
Rural Tourism,2016,Apr,7369,3628,10997,10709,4699,15408,1.4
Rural Tourism,2016,Mar,11133,1224,12357,22056,2120,24176,1.96
Rural Tourism,2016,Feb,5697,246,5943,8235,450,8685,1.46
Rural Tourism,2016,Jan,4908,130,5038,7298,183,7481,1.48
Rural Tourism,2015,Dec,7450,288,7738,14084,613,14697,1.9
Rural Tourism,2015,Nov,7340,355,7695,12158,509,12667,1.65
Rural Tourism,2015,Oct,12675,5008,17683,21069,6478,27547,1.56
Rural Tourism,2015,Sep,15243,9117,24360,28092,12553,40645,1.67
Rural Tourism,2015,Aug,33010,7123,40133,85049,15418,100467,2.5
Rural Tourism,2015,Jul,19700,6631,26331,43774,13901,57675,2.19
Rural Tourism,2015,Jun,12450,6995,19445,21289,9748,31037,1.6
Rural Tourism,2015,May,10532,7021,17553,16442,9153,25595,1.46
Rural Tourism,2015,Apr,10496,2394,12890,19614,3255,22869,1.77
Rural Tourism,2015,Mar,9250,605,9855,13957,910,14867,1.51
Rural Tourism,2015,Feb,5817,164,5981,8055,351,8406,1.41
Rural Tourism,2015,Jan,3515,149,3664,5512,251,5763,1.57
Rural Tourism,2014,Dec,7124,271,7395,12564,461,13025,1.76
Rural Tourism,2014,Nov,6509,269,6778,9851,461,10312,1.52
Rural Tourism,2014,Oct,9149,2575,11724,15004,3915,18919,1.61
Rural Tourism,2014,Sep,13103,6468,19571,25600,9472,35072,1.79
Rural Tourism,2014,Aug,28286,6293,34579,76269,13706,89975,2.6
Rural Tourism,2014,Jul,17005,4604,21609,39369,9927,49296,2.28
Rural Tourism,2014,Jun,10307,4658,14965,17935,6765,24700,1.65
Rural Tourism,2014,May,9832,5591,15423,15371,7158,22529,1.46
Rural Tourism,2014,Apr,9059,2085,11144,18216,3975,22191,1.99
Rural Tourism,2014,Mar,6054,633,6687,10177,938,11115,1.66
Rural Tourism,2014,Feb,4237,61,4298,6174,97,6271,1.46
Rural Tourism,2014,Jan,2706,114,2820,4726,158,4884,1.73
Rural Tourism,2013,Dec,6933,156,7089,11856,578,12434,1.75
Rural Tourism,2013,Nov,7194,194,7388,11828,419,12247,1.66
Rural Tourism,2013,Oct,7541,2583,10124,12346,3783,16129,1.59
Rural Tourism,2013,Sep,11602,4242,15844,22233,6475,28708,1.81
Rural Tourism,2013,Aug,25301,3894,29195,69570,10510,80080,2.74
Rural Tourism,2013,Jul,13453,3183,16636,31832,7181,39013,2.35
Rural Tourism,2013,Jun,8922,2874,11796,14830,5047,19877,1.69
Rural Tourism,2013,May,7227,2755,9982,12134,3753,15887,1.59
Rural Tourism,2013,Apr,4057,1649,5706,6424,2255,8679,1.52
Rural Tourism,2013,Mar,7730,471,8201,14817,713,15530,1.89
Rural Tourism,2013,Feb,4664,116,4780,6477,203,6680,1.4
Rural Tourism,2013,Jan,2382,57,2439,3722,163,3885,1.59
Rural Tourism,2012,Dec,8823,108,8931,12964,146,13110,1.47
Rural Tourism,2012,Nov,6233,403,6636,10304,684,10988,1.66
Rural Tourism,2012,Oct,11235,2023,13258,18957,2599,21556,1.63
Rural Tourism,2012,Sep,11061,4738,15799,20215,7935,28150,1.78
Rural Tourism,2012,Aug,22296,4258,26554,62665,11772,74437,2.8
Rural Tourism,2012,Jul,13761,4444,18205,29260,9811,39071,2.15
Rural Tourism,2012,Jun,8579,4035,12614,14921,6032,20953,1.66
Rural Tourism,2012,May,7821,3654,11475,13035,4893,17928,1.56
Rural Tourism,2012,Apr,10001,1566,11567,20545,2754,23299,2.01
Rural Tourism,2012,Mar,6255,244,6499,8862,378,9240,1.42
Rural Tourism,2012,Feb,4397,187,4584,6355,412,6767,1.48
Rural Tourism,2012,Jan,3231,148,3379,5052,201,5253,1.55
Rural Tourism,2011,Dec,7592,257,7849,14161,660,14821,1.89
Rural Tourism,2011,Nov,6792,147,6939,10972,233,11205,1.61
Rural Tourism,2011,Oct,11750,1928,13678,19396,3070,22466,1.64
Rural Tourism,2011,Sep,11368,4433,15801,21165,6584,27749,1.76
Rural Tourism,2011,Aug,25066,4171,29237,79196,11573,90769,3.1
Rural Tourism,2011,Jul,17261,2684,19945,36652,7733,44385,2.23
Rural Tourism,2011,Jun,10817,2942,13759,18992,3904,22896,1.66
Rural Tourism,2011,May,8126,3059,11185,13870,3726,17596,1.57
Rural Tourism,2011,Apr,10783,755,11538,20745,1110,21855,1.89
Rural Tourism,2011,Mar,5830,175,6005,9828,361,10189,1.7
Rural Tourism,2011,Feb,3664,60,3724,5574,88,5662,1.52
Rural Tourism,2011,Jan,3482,93,3575,5193,216,5409,1.51
Rural Tourism,2010,Dec,10561,322,10883,20514,1240,21754,2.0
Rural Tourism,2010,Nov,9725,344,10069,15459,410,15869,1.58
Rural Tourism,2010,Oct,17848,2263,20111,32245,3227,35472,1.76
Rural Tourism,2010,Sep,17730,4332,22062,30455,8229,38684,1.75
Rural Tourism,2010,Aug,30797,4451,35248,87731,11147,98878,2.81
Rural Tourism,2010,Jul,22498,3120,25618,50240,8283,58523,2.28
Rural Tourism,2010,Jun,14870,2567,17437,25982,4513,30495,1.75
Rural Tourism,2010,May,13943,3843,17786,23026,4730,27756,1.56
Rural Tourism,2010,Apr,12841,1314,14155,24933,2205,27138,1.92
Rural Tourism,2010,Mar,9578,202,9780,17186,487,17673,1.81
Rural Tourism,2010,Feb,5120,266,5386,8294,644,8938,1.66
Rural Tourism,2010,Jan,4776,131,4907,7807,367,8174,1.67
Rural Tourism,2009,Dec,11325,459,11784,21003,982,21985,1.87
Rural Tourism,2009,Nov,8843,285,9128,13915,1051,14966,1.64
Rural Tourism,2009,Oct,14188,2122,16310,25584,3000,28584,1.75
Rural Tourism,2009,Sep,15004,2867,17871,29761,3815,33576,1.88
Rural Tourism,2009,Aug,32245,3244,35489,95200,7004,102204,2.88
Rural Tourism,2009,Jul,20125,2450,22575,46705,4797,51502,2.28
Rural Tourism,2009,Jun,12154,2355,14509,22658,4410,27068,1.87
Rural Tourism,2009,May,11129,3469,14598,20965,4765,25730,1.76
Rural Tourism,2009,Apr,13106,1255,14361,26922,2402,29324,2.04
Rural Tourism,2009,Mar,8992,235,9227,15717,368,16085,1.74
Rural Tourism,2009,Feb,6584,94,6678,10495,235,10730,1.61
Rural Tourism,2009,Jan,4375,38,4413,7281,174,7455,1.69
Rural Tourism,2008,Dec,11567,237,11804,21388,621,22009,1.86
Rural Tourism,2008,Nov,9813,166,9979,16328,392,16720,1.68
Rural Tourism,2008,Oct,11430,1293,12723,20741,1931,22672,1.78
Rural Tourism,2008,Sep,13996,3254,17250,28143,6239,34382,1.99
Rural Tourism,2008,Aug,27840,3113,30953,88347,9429,97776,3.16
Rural Tourism,2008,Jul,16717,2781,19498,44939,6546,51485,2.64
Rural Tourism,2008,Jun,10783,2603,13386,21498,4622,26120,1.95
Rural Tourism,2008,May,12053,2849,14902,23196,4089,27285,1.83
Rural Tourism,2008,Apr,7611,1582,9193,13696,2626,16322,1.78
Rural Tourism,2008,Mar,12501,497,12998,29132,907,30039,2.31
Rural Tourism,2008,Feb,6697,114,6811,11102,346,11448,1.68
Rural Tourism,2008,Jan,4088,114,4202,7610,346,7956,1.89
Rural Tourism,2007,Dec,9832,306,10138,20162,625,20787,2.05
Rural Tourism,2007,Nov,9631,264,9895,17551,561,18112,1.83
Rural Tourism,2007,Oct,12654,1463,14117,24776,2576,27352,1.94
Rural Tourism,2007,Sep,14479,3401,17880,31647,5409,37056,2.07
Rural Tourism,2007,Aug,32225,3270,35495,97418,8041,105459,2.97
Rural Tourism,2007,Jul,17865,2936,20801,46075,6601,52676,2.53
Rural Tourism,2007,Jun,12167,2646,14813,21491,4586,26077,1.76
Rural Tourism,2007,May,9416,2977,12393,17284,4198,21482,1.73
Rural Tourism,2007,Apr,13713,1068,14781,31583,2009,33592,2.27
Rural Tourism,2007,Mar,8245,384,8629,14516,584,15100,1.75
Rural Tourism,2007,Feb,5634,175,5809,9332,438,9770,1.68
Rural Tourism,2007,Jan,4419,126,4545,8248,322,8570,1.89
Rural Tourism,2006,Dec,10070,437,10507,20433,867,21300,2.03
Rural Tourism,2006,Nov,7036,191,7227,12013,358,12371,1.71
Rural Tourism,2006,Oct,10031,1115,11146,19263,2760,22023,1.98
Rural Tourism,2006,Sep,12405,2615,15020,25667,4408,30075,2.0
Rural Tourism,2006,Aug,29044,3593,32637,95839,8812,104651,3.21
Rural Tourism,2006,Jul,19011,2851,21862,48583,6294,54877,2.51
Rural Tourism,2006,Jun,10713,1944,12657,19415,3558,22973,1.82
Rural Tourism,2006,May,8780,1938,10718,14846,3528,18374,1.71
Rural Tourism,2006,Apr,15184,719,15903,32946,1224,34170,2.15
Rural Tourism,2006,Mar,6512,260,6772,11356,498,11854,1.75
Rural Tourism,2006,Feb,6269,273,6542,10380,574,10954,1.67
Rural Tourism,2006,Jan,4851,69,4920,8281,352,8633,1.75
Rural Tourism,2005,Dec,8877,172,9049,17002,701,17703,1.96
Rural Tourism,2005,Nov,7489,288,7777,12992,882,13874,1.78
Rural Tourism,2005,Oct,10876,806,11682,20389,1548,21937,1.88
Rural Tourism,2005,Sep,13673,2071,15744,28931,3554,32485,2.06
Rural Tourism,2005,Aug,29741,2140,31881,97977,5751,103728,3.25
Rural Tourism,2005,Jul,19244,2432,21676,48420,6177,54597,2.52
Rural Tourism,2005,Jun,9635,1963,11598,17683,3908,21591,1.86
Rural Tourism,2005,May,9461,1631,11092,16529,2809,19338,1.74
Rural Tourism,2005,Apr,7383,460,7843,11905,828,12733,1.62
Rural Tourism,2005,Mar,10739,407,11146,23345,977,24322,2.18
Rural Tourism,2005,Feb,5013,167,5180,7907,298,8205,1.58
Rural Tourism,2005,Jan,4435,110,4545,7075,598,7673,1.69
Rural Tourism,2004,Dec,9927,215,10142,20058,730,20788,2.05
Rural Tourism,2004,Nov,6904,310,7214,11760,547,12307,1.71
Rural Tourism,2004,Oct,14469,1159,15628,27553,2200,29753,1.9
Rural Tourism,2004,Sep,14703,1794,16497,29258,2885,32143,1.95
Rural Tourism,2004,Aug,29864,2397,32261,89155,5875,95030,2.95
Rural Tourism,2004,Jul,18248,2631,20879,41043,5474,46517,2.23
Rural Tourism,2004,Jun,11970,1558,13528,20478,3235,23713,1.75
Rural Tourism,2004,May,11538,1767,13305,18858,2937,21795,1.64
Rural Tourism,2004,Apr,13283,597,13880,27563,1465,29028,2.09
Rural Tourism,2004,Mar,7888,204,8092,13301,493,13794,1.7
Rural Tourism,2004,Feb,6513,187,6700,10766,329,11095,1.66
Rural Tourism,2004,Jan,4628,372,5000,7817,747,8564,1.71
Rural Tourism,2003,Dec,10546,284,10830,19808,363,20171,1.86
Rural Tourism,2003,Nov,6267,263,6530,10218,372,10590,1.62
Rural Tourism,2003,Oct,8339,874,9213,14344,1662,16006,1.74
Rural Tourism,2003,Sep,11404,1599,13003,25523,2680,28203,2.17
Rural Tourism,2003,Aug,24769,2307,27076,79712,5969,85681,3.16
Rural Tourism,2003,Jul,14377,1846,16223,34602,4350,38952,2.4
Rural Tourism,2003,Jun,7887,1582,9469,13346,3093,16439,1.74
Rural Tourism,2003,May,7332,773,8105,14567,1235,15802,1.95
Rural Tourism,2003,Apr,10684,468,11152,23514,993,24507,2.2
Rural Tourism,2003,Mar,6695,209,6904,10606,437,11043,1.6
Rural Tourism,2003,Feb,5190,246,5436,7330,671,8001,1.47
Rural Tourism,2003,Jan,3438,73,3511,5571,235,5806,1.65
Rural Tourism,2002,Dec,6688,255,6943,12063,594,12657,1.82
Rural Tourism,2002,Nov,6688,255,6943,12063,594,12657,1.82
Rural Tourism,2002,Oct,9031,643,9674,15172,1091,16263,1.68
Rural Tourism,2002,Sep,11115,1247,12362,25625,3242,28867,2.34
Rural Tourism,2002,Aug,24712,2076,26788,80853,7884,88737,3.31
Rural Tourism,2002,Jul,14728,1845,16573,40097,4503,44600,2.69
Rural Tourism,2002,Jun,6852,1876,8728,12815,3796,16611,1.9
Rural Tourism,2002,May,7359,909,8268,14113,1879,15992,1.93
Rural Tourism,2002,Apr,5420,496,5916,9925,1101,11026,1.86
Rural Tourism,2002,Mar,9583,192,9775,21641,581,22222,2.27
Rural Tourism,2002,Feb,4306,46,4352,7042,102,7144,1.64
Rural Tourism,2002,Jan,3126,27,3153,5429,53,5482,1.74
Rural Tourism,2001,Dec,6111,284,6395,12664,793,13457,2.1
Rural Tourism,2001,Nov,6385,61,6446,10736,342,11078,1.72
Rural Tourism,2001,Oct,7865,324,8189,14814,692,15506,1.89
Rural Tourism,2001,Sep,9722,842,10564,21428,2663,24091,2.28
Rural Tourism,2001,Aug,20723,1518,22241,64045,4844,68889,3.1
Rural Tourism,2001,Jul,11132,1454,12586,29292,3973,33265,2.64
Rural Tourism,2001,Jun,6531,1250,7781,11269,2394,13663,1.76
Rural Tourism,2001,May,5046,669,5715,8199,990,9189,1.61
Rural Tourism,2001,Apr,8849,467,9316,19819,989,20808,2.23
Rural Tourism,2001,Mar,3677,129,3806,5094,278,5372,1.41
Rural Tourism,2001,Feb,3755,113,3868,6119,305,6424,1.66
Rural Tourism,2001,Jan,3112,40,3152,4579,62,4641,1.47
Albergue,2022,Aug,133836,89629,223465,172499,102632,275131,1.23
Albergue,2022,Jul,141341,76631,217972,159181,88614,247795,1.14
Albergue,2022,Jun,76022,95008,171030,86214,109135,195349,1.14
Albergue,2022,May,40805,74115,114920,45857,94566,140423,1.22
Albergue,2022,Apr,47163,36100,83263,48907,36361,85268,1.02
Albergue,2022,Mar,5508,7150,12658,5537,7377,12914,1.02
Albergue,2022,Feb,1728,2732,4460,1850,2812,4662,1.05
Albergue,2022,Jan,1425,1422,2847,1447,2106,3553,1.25
Albergue,2021,Dec,1879,1649,3528,2105,1701,3806,1.08
Albergue,2021,Nov,4463,3749,8212,4865,3902,8767,1.07
Albergue,2021,Oct,37938,34187,72125,43357,46371,89728,1.24
Albergue,2021,Sep,57075,40486,97561,67051,50844,117895,1.21
