,destination,month,year,travellers_Foreing,nights_Foreing,avg_stay_Foreign,travellers_Spain,nights_Spain,avg_stay_Spain,travellers_All,nights_All,avg_stay_All
1206,Ourense,Mar,2017,803,1546,..,8113,12126,..,8916,13672,1.5
1207,Ourense,Apr,2017,1661,2902,..,10169,18216,..,11830,21118,1.8
1208,Ourense,May,2017,1540,2609,..,8834,13983,..,10374,16592,1.6
1209,Ourense,Jun,2017,1854,3768,..,9099,14772,..,10953,18540,1.7
1210,Ourense,Jul,2017,1602,3393,..,10643,16408,..,12245,19801,1.6
1211,Ourense,Aug,2017,1900,3937,..,12045,20256,..,13945,24193,1.7
1212,Ourense,Sep,2017,2181,3919,..,10074,16549,..,12255,20468,1.7
1213,Ourense,Oct,2017,1484,2749,..,9932,16082,..,11416,18831,1.7
1214,Ourense,Nov,2017,931,1709,..,7922,12481,..,8853,14190,1.6
1215,Ourense,Dec,2017,1344,3032,..,8442,12626,..,9786,15658,1.6
1216,Ourense,Jan,2018,793,1558,..,6772,10535,..,7565,12093,1.6
1217,Ourense,Feb,2018,1059,1897,..,7482,11312,..,8541,13209,1.6
1218,Ourense,Mar,2018,843,1567,..,9922,15360,..,10765,16927,1.6
1219,Ourense,Apr,2018,1557,2546,..,9326,14583,..,10883,17129,1.6
1220,Ourense,May,2018,1960,3146,..,9571,14814,..,11531,17960,1.6
1221,Ourense,Jun,2018,1620,3086,..,10593,17264,..,12213,20350,1.7
1222,Ourense,Jul,2018,2655,5079,..,7762,13847,..,10417,18926,1.8
1223,Ourense,Aug,2018,2899,4578,..,11444,20736,..,14343,25314,1.8
1224,Ourense,Sep,2018,2596,4256,..,10651,18479,..,13247,22735,1.7
1225,Ourense,Oct,2018,1683,2826,..,10300,17299,..,11983,20125,1.7
1226,Ourense,Nov,2018,1096,2314,..,9504,15553,..,10600,17867,1.7
1227,Ourense,Dec,2018,1344,3032,..,8442,12626,..,9786,15658,1.6
1228,Ourense,Jan,2019,902,1633,..,6746,10955,..,7648,12588,1.7
1229,Ourense,Feb,2019,1181,2148,..,8148,12770,..,9329,14918,1.6
1230,Ourense,Mar,2019,1416,1957,..,10520,16636,..,11936,18593,1.6
1231,Ourense,Apr,2019,1444,2190,..,11977,18930,..,13421,21120,1.6
1232,Ourense,May,2019,2345,3627,..,9886,16615,..,12231,20242,1.7
1233,Ourense,Jun,2019,2296,3713,..,10808,16857,..,13104,20570,1.6
1234,Ourense,Jul,2019,1946,3165,..,11707,19194,..,13653,22359,1.6
1235,Ourense,Aug,2019,2532,3831,..,14584,26598,..,17116,30429,1.8
1236,Ourense,Sep,2019,2378,4569,..,11333,18764,..,13711,23333,1.7
1237,Ourense,Oct,2019,2052,2749,..,10862,18210,..,12914,20959,1.6
1238,Ourense,Nov,2019,1315,2303,..,9753,15960,..,11068,18263,1.7
1239,Ourense,Dec,2019,1186,2018,..,9727,15436,..,10913,17454,1.6
1240,Ourense,Jan,2020,1036,2075,..,7968,12295,..,9004,14370,1.6
1241,Ourense,Feb,2020,1590,2742,..,9971,16289,..,11561,19031,1.7
1242,Ourense,Mar,2020,547,856,..,4219,8320,..,4766,..,1.9
1243,Ourense,Apr,2020,0,0,..,0,0,..,0,0,0
1244,Ourense,May,2020,..,..,..,..,..,..,..,..,..
1245,Ourense,Jun,2020,..,..,..,..,..,..,..,..,..
1246,Ourense,Jul,2020,633,1047,..,6019,9715,..,6652,10762,1.6
1247,Ourense,Aug,2020,919,1389,..,10270,17249,..,11189,18638,1.7
1248,Ourense,Sep,2020,907,1746,..,6356,10195,..,7263,11941,1.6
1249,Ourense,Oct,2020,313,696,..,2896,4586,..,3209,5282,1.7
1250,Ourense,Nov,2020,251,484,..,2700,4006,..,2951,4490,1.5
1251,Ourense,Dec,2020,327,560,..,3294,5165,..,3621,5725,1.6
1252,Ourense,Jan,2021,281,508,..,2663,4357,..,2944,4865,1.7
1253,Ourense,Feb,2021,364,441,..,2622,4604,..,2986,5045,1.7
1254,Ourense,Mar,2021,429,526,..,4291,6357,..,4720,6883,1.5
1255,Ourense,Apr,2021,780,883,..,5817,9413,..,6597,10296,1.6
1256,Ourense,May,2021,568,868,..,6686,10319,..,7254,11187,1.5
1257,Ourense,Jun,2021,847,1262,..,7788,12495,..,8635,13757,1.6
1258,Ourense,Jul,2021,1025,1880,..,11683,19028,..,12708,20908,1.7
1259,Ourense,Aug,2021,1393,2275,..,14763,26754,..,16156,29029,1.8
1260,Ourense,Sep,2021,1270,1826,..,11438,19004,..,12708,20830,1.6
1261,Ourense,Oct,2021,1943,2439,..,10406,18616,..,12349,21055,1.7
1262,Ourense,Nov,2021,1016,1656,..,8366,13093,..,9382,14749,1.6
1263,Ourense,Dec,2021,694,1199,..,8146,12575,..,8840,13774,1.6
1264,Ourense,Jan,2022,573,1190,..,6754,11983,..,7327,13173,1.8
1265,Ourense,Feb,2022,1096,1717,..,8059,13915,..,9155,15632,1.7
1266,Ourense,Mar,2022,905,1493,..,8787,16268,..,9692,17761,1.8
1267,Ourense,Apr,2022,1363,2215,..,9736,18558,..,11099,20773,1.9
1268,Ourense,May,2022,1829,2681,..,10743,21492,..,12572,24173,1.9
1269,Ourense,Jun,2022,2313,3637,..,9956,18559,..,12269,22196,1.8
1270,Ourense,Jul,2022,2064,3775,..,10241,17035,..,12305,20810,1.7
1271,Ourense,Aug,2022,3123,6509,..,12505,22522,..,15628,29031,1.9
1272,O Grove,Jan,2005,..,..,..,..,..,..,..,..,..
1273,O Grove,Feb,2005,..,..,..,..,..,..,..,..,..
1274,O Grove,Mar,2005,474.5,926.1,..,4105.1,9872.6,..,4580,10799,2.4
1275,O Grove,Apr,2005,766.8,1034.4,..,3529.3,7723.7,..,4296,8758,2
1276,O Grove,May,2005,1072.4,2558.3,..,5522.1,14571,..,6594,17129,2.6
1277,O Grove,Jun,2005,1169.3,3158.4,..,7543.9,23366.6,..,8713,26525,3
1278,O Grove,Jul,2005,1789.8,7417.7,..,13457.7,46388.6,..,15248,53807,3.5
1279,O Grove,Aug,2005,1727.8,5306.7,..,17415.4,74008,..,19143,79315,4.1
1280,O Grove,Sep,2005,1436.6,2838.5,..,13118.6,40846.9,..,14556,43685,3
1281,O Grove,Oct,2005,623.3,1146.9,..,9972.1,27774.3,..,10595,28921,2.7
1282,O Grove,Nov,2005,789.7,1509.3,..,3974.3,9104.7,..,4764,10614,2.2
1283,O Grove,Dec,2005,1419.2,3320.5,..,3392.8,8341.5,..,4812,11662,2.4
1284,O Grove,Jan,2006,319.5,943.2,..,3894.9,9885.2,..,4215,10828,2.6
1285,O Grove,Feb,2006,491.9,1148.9,..,3643.1,8760.1,..,4135,9909,2.4
1286,O Grove,Mar,2006,447.9,1240.3,..,4223.9,9930.9,..,4672,11171,2.4
1287,O Grove,Apr,2006,2304,4601.3,..,6535.3,18971.7,..,8839,23573,2.7
1288,O Grove,May,2006,560.6,1127.2,..,5365.7,15787.5,..,5927,16915,2.9
1289,O Grove,Jun,2006,1357.2,4788.8,..,7856.3,22276.9,..,9213,27066,2.9
1290,O Grove,Jul,2006,1511.1,6988.4,..,13456.8,50429.4,..,14968,57417,3.8
1291,O Grove,Aug,2006,2138.4,6021.2,..,18058.4,77664.2,..,20196,83685,4.1
1292,O Grove,Sep,2006,1371.5,2716,..,10000.1,34913,..,11372,37629,3.3
1293,O Grove,Oct,2006,1041.7,2287.9,..,8754.9,25389.1,..,9797,27677,2.8
1294,O Grove,Nov,2006,294.4,834.9,..,4440.6,10597.1,..,4735,11432,2.4
1295,O Grove,Dec,2006,1341.6,2746.1,..,3848.3,9845.6,..,5190,12592,2.4
1296,O Grove,Jan,2007,430,775,..,3414,8607,..,3844,9382,2.4
1297,O Grove,Feb,2007,755,1574,..,4108,10637,..,4863,12211,2.5
1298,O Grove,Mar,2007,482,877,..,4319,12210,..,4801,13087,2.7
1299,O Grove,Apr,2007,573,1086,..,7804,20189,..,8377,21275,2.5
1300,O Grove,May,2007,805,1855,..,5643,16021,..,6448,17876,2.8
1301,O Grove,Jun,2007,1017,2456,..,8908,24955,..,9925,27411,2.8
1302,O Grove,Jul,2007,1383,5393,..,12120,42544,..,13503,47937,3.6
1303,O Grove,Aug,2007,1910,5014,..,17919,72154,..,19829,77168,3.9
1304,O Grove,Sep,2007,1728,3986,..,11866,40611,..,13594,44597,3.3
1305,O Grove,Oct,2007,1002,2020,..,13390,35538,..,14392,37558,2.6
1306,O Grove,Nov,2007,540,946,..,5270,14887,..,5810,15833,2.7
1307,O Grove,Dec,2007,1295,2514,..,4549,11527,..,5844,14041,2.4
1308,O Grove,Jan,2008,..,..,..,..,..,..,..,..,..
1309,O Grove,Feb,2008,359,755,..,4978,10844,..,5337,11599,2.2
1310,O Grove,Mar,2008,464,1084,..,7171,18387,..,7635,19471,2.6
1311,O Grove,Apr,2008,545,891,..,5621,12649,..,6166,13540,2.2
1312,O Grove,May,2008,1563,2627,..,6556,16921,..,8119,19548,2.4
1313,O Grove,Jun,2008,1778,4160,..,7929,23074,..,9707,27234,2.8
1314,O Grove,Jul,2008,1385,3968,..,12717,40859,..,14102,44827,3.2
1315,O Grove,Aug,2008,1985,5080,..,17405,64023,..,19390,69103,3.6
1316,O Grove,Sep,2008,1177,3652,..,11456,33217,..,12633,36869,2.9
1317,O Grove,Oct,2008,1137,1682,..,12956,33825,..,14093,35507,2.5
1318,O Grove,Nov,2008,752,1099,..,7448,17410,..,8200,18509,2.3
1319,O Grove,Dec,2008,1087,1954,..,4867,10494,..,5954,12448,2.1
1320,O Grove,Jan,2009,..,..,..,..,..,..,..,..,..
1321,O Grove,Feb,2009,..,..,..,..,..,..,..,..,..
1322,O Grove,Mar,2009,608,1069,..,4908,12867,..,5516,13936,2.5
1323,O Grove,Apr,2009,637,1681,..,6405,17435,..,7042,19116,2.7
1324,O Grove,May,2009,704,1457,..,7432,19232,..,8136,20689,2.5
1325,O Grove,Jun,2009,735,1892,..,8037,25701,..,8772,27593,3.2
1326,O Grove,Jul,2009,1759,5483,..,12815,43938,..,14574,49421,3.4
1327,O Grove,Aug,2009,1741,5072,..,17008,64142,..,18749,69214,3.7
1328,O Grove,Sep,2009,700,1801,..,10066,32350,..,10766,34151,3.2
1329,O Grove,Oct,2009,728,1614,..,11206,29038,..,11934,30652,2.6
1330,O Grove,Nov,2009,149,268,..,5439,14548,..,5588,14816,2.7
1331,O Grove,Dec,2009,..,..,..,..,..,..,..,..,..
1332,O Grove,Jan,2010,..,..,..,..,..,..,..,..,..
1333,O Grove,Feb,2010,..,..,..,..,..,..,..,..,..
1334,O Grove,Mar,2010,..,..,..,..,..,..,..,..,..
1335,O Grove,Apr,2010,1146,2129,..,5477,15195,..,6623,17324,2.6
1336,O Grove,May,2010,644,1164,..,7508,17759,..,8152,18923,2.3
1337,O Grove,Jun,2010,1263,3462,..,9846,28846,..,11109,32308,2.9
1338,O Grove,Jul,2010,1991,6251,..,15083,50269,..,17074,56520,3.3
1339,O Grove,Aug,2010,2363,7972,..,17256,69905,..,19619,77877,4
1340,O Grove,Sep,2010,735,1812,..,12054,38967,..,12789,40779,3.2
1341,O Grove,Oct,2010,1344,3187,..,11813,32694,..,13157,35881,2.7
1342,O Grove,Nov,2010,..,..,..,..,..,..,..,..,..
1343,O Grove,Dec,2010,..,..,..,..,..,..,..,..,..
1344,O Grove,Jan,2011,..,..,..,..,..,..,..,..,..
1345,O Grove,Feb,2011,..,..,..,..,..,..,..,..,..
1346,O Grove,Mar,2011,..,..,..,..,..,..,..,..,..
1347,O Grove,Apr,2011,527,1121,..,5694,14159,..,6221,15280,2.5
1348,O Grove,May,2011,862,1202,..,5821,12395,..,6683,13597,2
1349,O Grove,Jun,2011,1254,3036,..,8558,25686,..,9812,28722,2.9
1350,O Grove,Jul,2011,1244,4428,..,15325,44840,..,16569,49268,3
1351,O Grove,Aug,2011,2123,7551,..,15205,54560,..,17328,62111,3.6
1352,O Grove,Sep,2011,1190,2929,..,12625,35909,..,13815,38838,2.8
1353,O Grove,Oct,2011,756,1369,..,11569,32200,..,12325,33569,2.7
1354,O Grove,Nov,2011,..,..,..,..,..,..,..,..,..
1355,O Grove,Dec,2011,..,..,..,..,..,..,..,..,..
1356,O Grove,Jan,2012,..,..,..,..,..,..,..,..,..
1357,O Grove,Feb,2012,..,..,..,..,..,..,..,..,..
1358,O Grove,Mar,2012,344,519,..,5786,14978,..,6130,15497,2.5
1359,O Grove,Apr,2012,636,1242,..,6532,15922,..,7168,17164,2.4
1360,O Grove,May,2012,989,2892,..,4543,9325,..,5532,12217,2.2
1361,O Grove,Jun,2012,884,2068,..,7304,18866,..,8188,20934,2.6
1362,O Grove,Jul,2012,2278,6155,..,11132,39975,..,13410,46130,3.4
1363,O Grove,Aug,2012,2118,5240,..,15477,51931,..,17595,57171,3.3
1364,O Grove,Sep,2012,1222,3137,..,11688,30646,..,12910,33783,2.6
1365,O Grove,Oct,2012,613,1333,..,8881,24362,..,9494,25695,2.7
1366,O Grove,Nov,2012,299,431,..,4021,10798,..,4320,11229,2.6
1367,O Grove,Dec,2012,817,1615,..,4206,8057,..,5023,9672,1.9
1368,O Grove,Jan,2013,..,..,..,..,..,..,..,..,..
1369,O Grove,Feb,2013,..,..,..,..,..,..,..,..,..
1370,O Grove,Mar,2013,371,681,..,5630,11825,..,6001,12506,2.1
1371,O Grove,Apr,2013,544,1424,..,3559,7521,..,4103,8945,2.2
1372,O Grove,May,2013,433,991,..,6371,15035,..,6804,16026,2.4
1373,O Grove,Jun,2013,1420,3727,..,7784,18808,..,9204,22535,2.5
1374,O Grove,Jul,2013,1412,3848,..,12096,36030,..,13508,39878,3
1375,O Grove,Aug,2013,2278,7056,..,16584,56996,..,18862,64052,3.4
1376,O Grove,Sep,2013,2257,5158,..,9282,28038,..,11539,33196,2.9
1377,O Grove,Oct,2013,925,2197,..,9035,23046,..,9960,25243,2.5
1378,O Grove,Nov,2013,248,415,..,5063,13073,..,5311,13488,2.5
1379,O Grove,Dec,2013,692,1317,..,4967,9050,..,5659,10367,1.8
1380,O Grove,Jan,2014,..,..,..,..,..,..,..,..,..
1381,O Grove,Feb,2014,..,..,..,..,..,..,..,..,..
1382,O Grove,Mar,2014,..,..,..,..,..,..,..,..,..
1383,O Grove,Apr,2014,643,1259,..,5722,12623,..,6365,13882,2.2
1384,O Grove,May,2014,695,1505,..,6462,13823,..,7157,15328,2.1
1385,O Grove,Jun,2014,972,2640,..,8053,20019,..,9025,22659,2.5
1386,O Grove,Jul,2014,1724,4851,..,12735,36436,..,14459,41287,2.9
1387,O Grove,Aug,2014,2137,5804,..,17905,55721,..,20042,61525,3.1
1388,O Grove,Sep,2014,1654,3409,..,9789,27742,..,11443,31151,2.7
1389,O Grove,Oct,2014,566,1584,..,10251,27153,..,10817,28737,2.7
1390,O Grove,Nov,2014,120,221,..,5481,12010,..,5601,12231,2.2
1391,O Grove,Dec,2014,..,..,..,..,..,..,..,..,..
1392,O Grove,Jan,2015,..,..,..,..,..,..,..,..,..
1393,O Grove,Feb,2015,..,..,..,..,..,..,..,..,..
1394,O Grove,Mar,2015,265,545,..,5671,11139,..,5936,11684,2
1395,O Grove,Apr,2015,588,1314,..,6209,14730,..,6797,16044,2.4
1396,O Grove,May,2015,877,2142,..,7042,14603,..,7919,16745,2.1
1397,O Grove,Jun,2015,1140,3495,..,10857,25727,..,11997,29222,2.4
1398,O Grove,Jul,2015,1806,4971,..,16547,46701,..,18353,51672,2.8
1399,O Grove,Aug,2015,2049,6853,..,19620,66054,..,21669,72907,3.4
1400,O Grove,Sep,2015,1707,4867,..,11499,31756,..,13206,36623,2.8
1401,O Grove,Oct,2015,947,2005,..,9585,25617,..,10532,27622,2.6
1402,O Grove,Nov,2015,414,688,..,5281,12176,..,5695,12864,2.3
1403,O Grove,Dec,2015,..,..,..,..,..,..,..,..,..
1404,O Grove,Jan,2016,..,..,..,..,..,..,..,..,..
1405,O Grove,Feb,2016,..,..,..,..,..,..,..,..,..
1406,O Grove,Mar,2016,616,1266,..,6627,13096,..,7243,14362,2
1407,O Grove,Apr,2016,1005,2659,..,5412,10182,..,6417,12841,2
1408,O Grove,May,2016,639,1367,..,7036,14669,..,7675,16036,2.1
1409,O Grove,Jun,2016,1109,3135,..,11472,26937,..,12581,30072,2.4
1410,O Grove,Jul,2016,2084,6208,..,17718,56051,..,19802,62259,3.1
1411,O Grove,Aug,2016,2475,7489,..,21554,69916,..,24029,77405,3.2
1412,O Grove,Sep,2016,1846,7668,..,11980,31459,..,13826,39127,2.8
1413,O Grove,Oct,2016,1221,2878,..,11095,27743,..,12316,30621,2.5
1414,O Grove,Nov,2016,374,593,..,4799,11103,..,5173,11696,2.3
1415,O Grove,Dec,2016,..,..,..,..,..,..,..,..,..
1416,O Grove,Jan,2017,..,..,..,..,..,..,..,..,..
1417,O Grove,Feb,2017,..,..,..,..,..,..,..,..,..
1418,O Grove,Mar,2017,..,..,..,..,..,..,..,..,..
1419,O Grove,Apr,2017,1111,1743,..,8977,20073,..,10088,21816,2.2
1420,O Grove,May,2017,1157,3501,..,6654,14375,..,7811,17876,2.3
1421,O Grove,Jun,2017,1778,4470,..,11764,31062,..,13542,35532,2.6
1422,O Grove,Jul,2017,2660,7719,..,18692,56289,..,21352,64008,3
1423,O Grove,Aug,2017,2460,9214,..,20752,74874,..,23212,84088,3.6
1424,O Grove,Sep,2017,2217,4612,..,11772,32179,..,13989,36791,2.6
1425,O Grove,Oct,2017,1512,2646,..,12080,30519,..,13592,33165,2.4
1426,O Grove,Nov,2017,..,..,..,..,..,..,..,..,..
1427,O Grove,Dec,2017,..,..,..,..,..,..,..,..,..
1428,O Grove,Jan,2018,..,..,..,..,..,..,..,..,..
1429,O Grove,Feb,2018,..,..,..,..,..,..,..,..,..
1430,O Grove,Mar,2018,508,872,..,4917,10327,..,5425,11199,2.1
1431,O Grove,Apr,2018,1213,2047,..,5193,12529,..,6406,14576,2.3
1432,O Grove,May,2018,1126,2313,..,6748,15309,..,7874,17622,2.2
1433,O Grove,Jun,2018,1912,5387,..,10825,28129,..,12737,33516,2.6
1434,O Grove,Jul,2018,2329,6359,..,15659,51378,..,17988,57737,3.2
1435,O Grove,Aug,2018,2775,8946,..,19267,68855,..,22042,77801,3.5
1436,O Grove,Sep,2018,2678,5899,..,12634,34444,..,15312,40343,2.6
1437,O Grove,Oct,2018,986,2208,..,8512,21251,..,9498,23459,2.5
1438,O Grove,Nov,2018,..,..,..,..,..,..,..,..,..
1439,O Grove,Dec,2018,..,..,..,..,..,..,..,..,..
1440,O Grove,Jan,2019,..,..,..,..,..,..,..,..,..
1441,O Grove,Feb,2019,..,..,..,..,..,..,..,..,..
1442,O Grove,Mar,2019,532,829,..,4296,8752,..,4828,9581,2
1443,O Grove,Apr,2019,867,1862,..,7008,16408,..,7875,18270,2.3
1444,O Grove,May,2019,1786,2715,..,6605,15620,..,8391,18335,2.2
1445,O Grove,Jun,2019,2229,5538,..,10424,27269,..,12653,32807,2.6
1446,O Grove,Jul,2019,2580,8263,..,14647,45925,..,17227,54188,3.2
1447,O Grove,Aug,2019,3032,10726,..,20183,64560,..,23215,75286,3.2
1448,O Grove,Sep,2019,2866,7450,..,13107,35263,..,15973,42713,2.7
1449,O Grove,Oct,2019,1296,2336,..,8502,23850,..,9798,26186,2.7
1450,O Grove,Nov,2019,437,815,..,5095,11995,..,5532,12810,2.3
1451,O Grove,Dec,2019,1112,1902,..,4057,7488,..,5169,9390,1.8
1452,O Grove,Jan,2020,..,..,..,..,..,..,..,..,..
1453,O Grove,Feb,2020,..,..,..,..,..,..,..,..,..
1454,O Grove,Mar,2020,..,..,..,..,..,..,..,..,..
1455,O Grove,Apr,2020,0,0,..,0,0,..,0,0,0
1456,O Grove,May,2020,..,..,..,..,..,..,..,..,..
1457,O Grove,Jun,2020,..,..,..,..,..,..,..,..,..
1458,O Grove,Jul,2020,584,1675,..,11395,31275,..,11979,32950,2.8
1459,O Grove,Aug,2020,1066,2657,..,13425,40671,..,14491,43328,3
1460,O Grove,Sep,2020,333,655,..,7137,16952,..,7470,17607,2.4
1461,O Grove,Oct,2020,315,498,..,4388,8075,..,4703,8573,1.8
1462,O Grove,Nov,2020,..,..,..,..,..,..,..,..,..
1463,O Grove,Dec,2020,..,..,..,..,..,..,..,..,..
1464,O Grove,Jan,2021,..,..,..,..,..,..,..,..,..
1465,O Grove,Feb,2021,..,..,..,..,..,..,..,..,..
1466,O Grove,Mar,2021,23,45,..,804,1173,..,827,1218,1.5
1467,O Grove,Apr,2021,55,165,..,588,1022,..,..,..,1.9
1468,O Grove,May,2021,168,242,..,2394,3388,..,2562,3630,1.4
1469,O Grove,Jun,2021,1233,2671,..,8734,19835,..,9967,22506,2.3
1470,O Grove,Jul,2021,1065,3026,..,14014,43233,..,15079,46259,3.1
1471,O Grove,Aug,2021,1882,6308,..,19719,60451,..,21601,66759,3.1
1472,O Grove,Sep,2021,1666,3135,..,9747,31331,..,11413,34466,3
1473,O Grove,Oct,2021,1205,2319,..,7434,21054,..,8639,23373,2.7
1474,O Grove,Nov,2021,360,536,..,4057,7485,..,4417,8021,1.8
1475,O Grove,Dec,2021,385,746,..,3887,7357,..,4272,8103,1.9
1476,O Grove,Jan,2022,..,..,..,..,..,..,..,..,..
1477,O Grove,Feb,2022,..,..,..,..,..,..,..,..,..
1478,O Grove,Mar,2022,..,..,..,..,..,..,..,..,..
1479,O Grove,Apr,2022,1174,2043,..,5903,13988,..,7077,16031,2.3
1480,O Grove,May,2022,1513,2882,..,6690,14645,..,8203,17527,2.1
1481,O Grove,Jun,2022,2365,4938,..,9683,26128,..,12048,31066,2.6
1482,O Grove,Jul,2022,2881,6880,..,14980,43673,..,17861,50553,2.8
1483,O Grove,Aug,2022,3434,8687,..,22389,67159,..,25823,75846,2.9
1484,Sanxenxo,Jan,2005,417.7,907,..,1855,6659.7,..,2273,7567,3.3
1485,Sanxenxo,Feb,2005,..,..,..,..,..,..,..,..,..
1486,Sanxenxo,Mar,2005,1013.7,2153.1,..,8845.7,33044.7,..,9860,35198,3.6
1487,Sanxenxo,Apr,2005,2821.4,5444.4,..,8870.8,23493.4,..,11692,28937,2.5
1488,Sanxenxo,May,2005,3845.6,6395.1,..,9276.4,32368.9,..,13122,38764,3
1489,Sanxenxo,Jun,2005,7812.8,16154.7,..,16777.4,59019.4,..,24590,75174,3.1
1490,Sanxenxo,Jul,2005,5400.8,15928.2,..,35152.7,146773.5,..,40554,162702,4
1491,Sanxenxo,Aug,2005,8613.7,26614.6,..,37383.1,179875.1,..,45997,206490,4.5
1492,Sanxenxo,Sep,2005,5027.7,12987.9,..,22940.9,90733.4,..,27969,103721,3.7
1493,Sanxenxo,Oct,2005,4193.3,8014.3,..,11295.4,39891.6,..,15488,47906,3.1
1494,Sanxenxo,Nov,2005,3741.7,9193.5,..,3919.4,11634.3,..,7661,20827,2.7
1495,Sanxenxo,Dec,2005,1536.4,2323.6,..,3197.6,8525.3,..,4734,10849,2.3
1496,Sanxenxo,Jan,2006,922.7,2155.2,..,4188.7,9023.5,..,5112,11179,2.2
1497,Sanxenxo,Feb,2006,1036,1696.5,..,5330.7,9298.6,..,6367,10995,1.7
1498,Sanxenxo,Mar,2006,1460.2,2295.6,..,6589.4,20830.2,..,8049,23126,2.9
1499,Sanxenxo,Apr,2006,3098.1,5472.6,..,14270,42576.1,..,17368,48049,2.8
1500,Sanxenxo,May,2006,3022.8,4977.3,..,11734,37364.9,..,14757,42342,2.9
1501,Sanxenxo,Jun,2006,6755.6,11674.3,..,21542.1,72470.9,..,28298,84145,3
1502,Sanxenxo,Jul,2006,7046.4,17530.5,..,38918.9,155920.2,..,45965,173451,3.8
1503,Sanxenxo,Aug,2006,8198.8,23697.7,..,39528.7,188628.6,..,47728,212327,4.5
1504,Sanxenxo,Sep,2006,6669.1,14734.8,..,23918.5,94109.9,..,30587,108845,3.6
1505,Sanxenxo,Oct,2006,3089.6,4042.3,..,13129.3,44150.8,..,16219,48193,3
1506,Sanxenxo,Nov,2006,1114.6,1975.8,..,7775.1,17818.8,..,8890,19795,2.2
1507,Sanxenxo,Dec,2006,2498,4244.4,..,4064,11316.6,..,6562,15561,2.4
1508,Sanxenxo,Jan,2007,659,1277,..,3719,8180,..,4378,9457,2.2
1509,Sanxenxo,Feb,2007,1144,1969,..,4422,9475,..,5566,11444,2.1
1510,Sanxenxo,Mar,2007,1717,2517,..,7502,16650,..,9219,19167,2.1
1511,Sanxenxo,Apr,2007,3341,5868,..,13897,41635,..,17238,47503,2.8
1512,Sanxenxo,May,2007,2591,4789,..,10784,35430,..,13375,40219,3
1513,Sanxenxo,Jun,2007,5164,13028,..,17817,68278,..,22981,81306,3.5
1514,Sanxenxo,Jul,2007,5994,19957,..,32107,144494,..,38101,164451,4.3
1515,Sanxenxo,Aug,2007,8134,25318,..,41077,182225,..,49211,207543,4.2
1516,Sanxenxo,Sep,2007,6818,15047,..,27456,101017,..,34274,116064,3.4
1517,Sanxenxo,Oct,2007,5300,8010,..,16875,58883,..,22175,66893,3
1518,Sanxenxo,Nov,2007,1161,2258,..,6061,18983,..,7222,21241,2.9
1519,Sanxenxo,Dec,2007,1806,3889,..,3555,9722,..,5361,13611,2.5
1520,Sanxenxo,Jan,2008,313,800,..,2126,5446,..,2439,6246,2.6
1521,Sanxenxo,Feb,2008,798,1690,..,4914,11286,..,5712,12976,2.3
1522,Sanxenxo,Mar,2008,1294,2947,..,11201,34169,..,12495,37116,3
1523,Sanxenxo,Apr,2008,1571,3868,..,8545,25231,..,10116,29099,2.9
1524,Sanxenxo,May,2008,3200,5335,..,14687,46940,..,17887,52275,2.9
1525,Sanxenxo,Jun,2008,4684,10637,..,18022,66201,..,22706,76838,3.4
1526,Sanxenxo,Jul,2008,5202,15161,..,32906,132124,..,38108,147285,3.9
1527,Sanxenxo,Aug,2008,9529,25623,..,38880,177237,..,48409,202860,4.2
1528,Sanxenxo,Sep,2008,4822,13113,..,22236,94108,..,27058,107221,4
1529,Sanxenxo,Oct,2008,3109,5283,..,17541,59464,..,20650,64747,3.1
1530,Sanxenxo,Nov,2008,990,1941,..,6299,17848,..,7289,19789,2.7
1531,Sanxenxo,Dec,2008,1433,2645,..,4277,10290,..,5710,12935,2.3
1532,Sanxenxo,Jan,2009,716,1278,..,3899,8162,..,4615,9440,2.1
1533,Sanxenxo,Feb,2009,1510,2589,..,4135,8497,..,5645,11086,2
1534,Sanxenxo,Mar,2009,970,1587,..,5922,15987,..,6892,17574,2.6
1535,Sanxenxo,Apr,2009,2200,3495,..,13306,41125,..,15506,44620,2.9
1536,Sanxenxo,May,2009,2535,3889,..,12634,41216,..,15169,45105,3
1537,Sanxenxo,Jun,2009,6415,13250,..,18766,69589,..,25181,82839,3.3
1538,Sanxenxo,Jul,2009,4695,11832,..,36999,145362,..,41694,157194,3.8
1539,Sanxenxo,Aug,2009,7164,19081,..,42781,188703,..,49945,207784,4.2
1540,Sanxenxo,Sep,2009,4695,11225,..,25834,104881,..,30529,116106,3.8
1541,Sanxenxo,Oct,2009,4736,8610,..,20595,68043,..,25331,76653,3
1542,Sanxenxo,Nov,2009,866,1888,..,5886,13895,..,6752,15783,2.3
1543,Sanxenxo,Dec,2009,1028,1697,..,4507,9043,..,5535,10740,1.9
1544,Sanxenxo,Jan,2010,..,..,..,..,..,..,..,..,..
1545,Sanxenxo,Feb,2010,..,..,..,..,..,..,..,..,..
1546,Sanxenxo,Mar,2010,325,559,..,7262,17330,..,7587,17889,2.4
1547,Sanxenxo,Apr,2010,3103,5820,..,18484,56886,..,21587,62706,2.9
1548,Sanxenxo,May,2010,2552,3449,..,21000,65067,..,23552,68516,2.9
1549,Sanxenxo,Jun,2010,4912,12023,..,25036,92512,..,29948,104535,3.5
