,come_from,avg_person_€,year,trimester,avg_person_day_€
140,Irlanda,76.65,2021,1,28.17
141,Irlanda,78.02,2020,4,32.5
142,Irlanda,98.51,2020,3,36.13
143,Irlanda,.,2020,2,.
144,Irlanda,137.05,2020,1,40.72
145,Irlanda,195.1,2019,4,52.88
146,Irlanda,249.75,2019,3,67.4
147,Irlanda,233.56,2019,2,74.89
148,Irlanda,108.78,2019,1,42.6
149,Irlanda,201.1,2018,4,64.15
150,Irlanda,296.43,2018,3,69.92
151,Irlanda,258.85,2018,2,79.38
152,Irlanda,226,2018,1,66.33
153,Italia,125.77,2022,1,34.66
154,Italia,126.46,2021,4,36.95
155,Italia,125.84,2021,3,41.1
156,Italia,104.03,2021,2,45.76
157,Italia,96.76,2021,1,35.27
158,Italia,108.8,2020,4,45.02
159,Italia,120.14,2020,3,42.95
160,Italia,.,2020,2,.
161,Italia,167.2,2020,1,48.36
162,Italia,212.71,2019,4,57.2
163,Italia,228.83,2019,3,61.1
164,Italia,215.69,2019,2,68.86
165,Italia,126.65,2019,1,49.25
166,Italia,191.09,2018,4,59.77
167,Italia,242.43,2018,3,57.27
168,Italia,224.61,2018,2,68.64
169,Italia,215.75,2018,1,60.89
170,Noruega,206.54,2022,1,56.84
171,Noruega,194.81,2021,4,57.12
172,Noruega,198.37,2021,3,63.5
173,Noruega,178.81,2021,2,79.07
174,Noruega,160.89,2021,1,59.55
175,Noruega,183.21,2020,4,73.98
176,Noruega,146.53,2020,3,54.56
177,Noruega,.,2020,2,.
178,Noruega,196.09,2020,1,56.02
179,Noruega,278.36,2019,4,74.28
180,Noruega,267.29,2019,3,72.08
181,Noruega,280.45,2019,2,89.9
182,Noruega,189.19,2019,1,73.67
183,Noruega,242.13,2018,4,76.08
184,Noruega,277.19,2018,3,65.62
185,Noruega,268.58,2018,2,80.2
186,Noruega,296.32,2018,1,86.12
187,Pa�ses Bajos,154.13,2022,1,42.02
188,Pa�ses Bajos,156.91,2021,4,45.07
189,Pa�ses Bajos,149.67,2021,3,48.78
190,Pa�ses Bajos,126.37,2021,2,55.58
191,Pa�ses Bajos,111.2,2021,1,39.79
192,Pa�ses Bajos,117.36,2020,4,48.64
193,Pa�ses Bajos,126.65,2020,3,44.75
194,Pa�ses Bajos,.,2020,2,.
195,Pa�ses Bajos,183.52,2020,1,52.5
196,Pa�ses Bajos,236.78,2019,4,63.64
197,Pa�ses Bajos,242.87,2019,3,65.06
198,Pa�ses Bajos,246.78,2019,2,77.95
199,Pa�ses Bajos,135.22,2019,1,52.32
200,Pa�ses Bajos,205.06,2018,4,64.29
201,Pa�ses Bajos,255.79,2018,3,60.66
202,Pa�ses Bajos,238.34,2018,2,72.43
203,Pa�ses Bajos,245.1,2018,1,66.8
204,Polonia,102.15,2022,1,27.66
205,Polonia,94.94,2021,4,28.03
206,Polonia,99.29,2021,3,31.9
207,Polonia,82.26,2021,2,36.27
208,Polonia,64.63,2021,1,23.86
209,Polonia,71.02,2020,4,29.28
210,Polonia,73.39,2020,3,26.79
211,Polonia,.,2020,2,.
212,Polonia,102.29,2020,1,31.51
213,Polonia,127.31,2019,4,34.33
214,Polonia,155.38,2019,3,41.87
215,Polonia,143.62,2019,2,46.1
216,Polonia,91.82,2019,1,35.87
217,Polonia,114.1,2018,4,36.14
218,Polonia,163.91,2018,3,38.55
219,Polonia,147.51,2018,2,44.35
220,Polonia,154.8,2018,1,44.22
221,Portugal,255.06,2022,1,69.17
222,Portugal,219.51,2021,4,63.13
223,Portugal,178.88,2021,3,58.12
224,Portugal,149.52,2021,2,65.56
225,Portugal,126.14,2021,1,45.13
226,Portugal,130.51,2020,4,53.55
227,Portugal,131.96,2020,3,47.89
228,Portugal,.,2020,2,.
229,Portugal,202.42,2020,1,59.04
230,Portugal,233.55,2019,4,64.24
231,Portugal,220.15,2019,3,59.02
232,Portugal,211.47,2019,2,68.31
233,Portugal,135.95,2019,1,52.73
234,Portugal,178.25,2018,4,58.32
235,Portugal,217.93,2018,3,51.44
236,Portugal,194.48,2018,2,58.85
237,Portugal,209.32,2018,1,57.96
238,Reino Unido,180.07,2022,1,48.77
239,Reino Unido,170.69,2021,4,48.38
240,Reino Unido,156.32,2021,3,50.9
241,Reino Unido,131.45,2021,2,58.07
242,Reino Unido,117.7,2021,1,42.31
243,Reino Unido,125.04,2020,4,52.48
244,Reino Unido,120.29,2020,3,43.23
245,Reino Unido,.,2020,2,.
246,Reino Unido,198.84,2020,1,56.5
247,Reino Unido,242.22,2019,4,65.69
248,Reino Unido,245.16,2019,3,65.83
249,Reino Unido,233.28,2019,2,74.82
250,Reino Unido,136.75,2019,1,52.88
251,Reino Unido,213.58,2018,4,68.18
252,Reino Unido,282.14,2018,3,66.53
253,Reino Unido,238.51,2018,2,72.32
254,Reino Unido,242.65,2018,1,68.47
255,Ruman�a,136.4,2022,1,37.74
256,Ruman�a,135.33,2021,4,39.18
257,Ruman�a,127.07,2021,3,40.8
258,Ruman�a,107.31,2021,2,47.51
259,Ruman�a,79.76,2021,1,29.01
260,Ruman�a,93.45,2020,4,40.18
261,Ruman�a,98.04,2020,3,35.91
262,Ruman�a,.,2020,2,.
263,Ruman�a,150.37,2020,1,46.31
264,Ruman�a,195.08,2019,4,52.9
265,Ruman�a,202.54,2019,3,54.64
266,Ruman�a,166.04,2019,2,53.35
267,Ruman�a,117.22,2019,1,46
268,Ruman�a,176.26,2018,4,56.45
269,Ruman�a,220.46,2018,3,52.27
270,Ruman�a,169.76,2018,2,50.76
271,Ruman�a,184.38,2018,1,55.02
272,Rusia,269.69,2022,1,66.27
273,Rusia,171.05,2021,4,49.65
274,Rusia,149.06,2021,3,48.07
275,Rusia,128.12,2021,2,56.66
276,Rusia,115.65,2021,1,41.89
277,Rusia,116.63,2020,4,50.4
278,Rusia,121.78,2020,3,44.08
279,Rusia,.,2020,2,.
280,Rusia,171.5,2020,1,49.9
281,Rusia,191.85,2019,4,51.35
282,Rusia,173.93,2019,3,46.83
283,Rusia,160.83,2019,2,51.99
284,Rusia,102.15,2019,1,39.63
285,Rusia,157.58,2018,4,48.64
286,Rusia,193.26,2018,3,45.44
287,Rusia,192.2,2018,2,57.12
288,Rusia,207.18,2018,1,58.48
289,Suecia,170.97,2022,1,46.54
